exp,model,mean,std,min,max,all_rewards
exp1,dqn_privateeye_exp1.zip,0.0000,0.0000,0.0000,0.0000,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
exp2,dqn_privateeye_exp2.zip,1.0000,0.0000,1.0000,1.0000,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
exp3,dqn_privateeye_exp3.zip,1.0000,0.0000,1.0000,1.0000,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
exp4,dqn_privateeye_exp4.zip,1.0000,0.0000,1.0000,1.0000,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
exp5,dqn_privateeye_exp5.zip,1.0000,0.0000,1.0000,1.0000,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
exp6,dqn_privateeye_exp6.zip,0.0000,0.0000,0.0000,0.0000,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
