#{"t_start": 1778636817.194149, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,13.013037
1.0,670,18.484543
0.0,673,24.053742
-39.0,671,34.47765
-27.0,672,40.702521
0.0,668,47.443084
-53.0,667,56.2186
0.0,670,64.550959
-12.0,667,73.011572
-30.0,671,83.49619
0.0,667,93.378637
-56.0,666,100.111583
-34.0,671,108.487798
-15.0,671,114.883119
-21.0,672,121.172387
1.0,669,129.142721
1.0,669,134.091488
-12.0,672,140.440663
0.0,667,149.004848
1.0,666,156.558552
1.0,666,164.655929
-19.0,670,173.665055
-27.0,666,181.727103
1.0,668,190.075283
-13.0,668,198.871721
-25.0,667,205.658041
1.0,666,213.226422
1.0,670,222.86182
1.0,669,230.831498
0.0,667,238.097833
1.0,668,246.670108
1.0,667,252.743528
1.0,671,259.06976
-24.0,669,267.173754
1.0,668,273.002375
-14.0,671,279.333058
1.0,667,287.331076
0.0,669,293.17902
1.0,672,299.355734
1.0,672,307.182366
1.0,670,312.958403
1.0,667,319.276867
1.0,671,327.217266
-22.0,668,332.818936
1.0,672,339.073432
0.0,667,347.250322
1.0,671,353.152477
1.0,670,359.45986
-15.0,667,367.497233
1.0,667,372.935392
1.0,667,379.239207
0.0,666,385.22739
1.0,672,392.631642
0.0,669,398.931127
1.0,672,405.156406
1.0,670,412.565372
1.0,667,419.077949
-1.0,666,425.153983
0.0,670,432.255464
1.0,672,438.486526
1.0,672,444.580164
1.0,671,451.752611
1.0,671,456.823341
1.0,669,461.935619
1.0,669,468.077681
1.0,672,473.092657
0.0,666,478.138907
1.0,667,484.572956
1.0,671,489.778099
1.0,671,494.505165
1.0,668,501.132756
1.0,672,505.642792
1.0,668,510.514107
1.0,668,516.314516
1.0,670,520.255491
1.0,672,525.130379
1.0,666,531.17318
1.0,672,535.525737
1.0,667,540.082984
1.0,668,545.716811
1.0,670,549.465224
1.0,670,554.079308
1.0,670,559.814233
1.0,671,563.615293
1.0,669,568.34323
1.0,671,574.215927
1.0,666,578.118029
1.0,666,582.519349
1.0,671,588.410332
1.0,671,592.204235
1.0,665,596.918012
1.0,670,602.842324
1.0,667,606.753216
1.0,667,611.134496
1.0,671,617.32156
1.0,668,621.052845
1.0,667,625.647967
1.0,668,631.700696
1.0,672,635.405689
1.0,671,639.965158
1.0,671,646.113317
1.0,669,649.753753
1.0,671,654.333951
1.0,673,658.99723
1.0,669,664.181496
1.0,668,668.492403
1.0,668,673.130526
1.0,673,678.512658
1.0,667,682.732457
1.0,666,687.400549
0.0,672,692.833634
1.0,668,697.125521
1.0,672,701.838615
1.0,670,707.268998
1.0,670,711.363963
1.0,671,715.884774
1.0,665,721.359015
1.0,668,725.353946
1.0,667,729.986212
1.0,667,735.439519
1.0,672,739.75023
1.0,672,744.310308
1.0,672,749.859959
1.0,671,753.672798
1.0,673,758.344412
1.0,668,763.893545
1.0,665,767.774502
1.0,666,772.553653
1.0,667,778.123127
1.0,669,782.048601
1.0,667,786.584707
1.0,669,792.306273
1.0,670,796.12106
1.0,668,800.744114
1.0,665,806.376052
1.0,672,811.108555
1.0,666,816.814578
1.0,670,823.28702
1.0,667,829.866859
1.0,666,835.200925
1.0,670,841.741904
1.0,669,845.816637
1.0,667,851.032901
1.0,671,858.34192
1.0,668,862.76544
1.0,666,867.499213
1.0,671,873.568986
1.0,666,877.748502
1.0,670,882.295573
1.0,669,888.563742
1.0,667,892.421803
1.0,667,897.25448
1.0,668,902.009646
1.0,668,907.252358
1.0,670,911.713055
1.0,667,916.489827
1.0,672,921.644017
1.0,666,926.102843
1.0,672,930.82856
1.0,672,936.244699
1.0,667,940.633415
1.0,667,945.55045
1.0,668,953.228817
1.0,668,959.062374
1.0,671,964.537607
1.0,669,971.335971
1.0,671,978.268848
1.0,672,984.074583
1.0,673,990.748693
1.0,671,995.63156
1.0,669,1001.01448
1.0,666,1009.838418
1.0,672,1018.04299
1.0,672,1024.87994
1.0,667,1032.229357
1.0,666,1039.459527
1.0,671,1045.737829
1.0,672,1052.362642
1.0,669,1059.200486
1.0,672,1064.712846
1.0,672,1073.2986
1.0,671,1081.038809
1.0,670,1087.140972
1.0,667,1094.910373
1.0,667,1101.0948
1.0,672,1106.959325
1.0,671,1115.32232
1.0,672,1120.360754
1.0,668,1125.600484
1.0,669,1131.54795
1.0,668,1135.187232
1.0,672,1140.078038
1.0,666,1146.082862
1.0,670,1149.801423
