#{"t_start": 1778634836.2495704, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,10.342499
1.0,666,16.814816
1.0,668,23.254826
0.0,667,36.26501
-3.0,673,42.584538
1.0,669,48.230458
1.0,670,55.472923
1.0,666,61.570404
-15.0,671,67.516957
-32.0,668,75.140622
-31.0,669,81.208504
-35.0,667,87.152454
1.0,671,94.396379
-18.0,670,100.432927
0.0,667,106.845541
1.0,668,114.235934
1.0,673,120.343474
-6.0,669,126.439794
1.0,672,133.966165
0.0,670,139.9504
1.0,669,146.269886
1.0,667,153.562312
1.0,667,159.635295
0.0,668,165.67132
1.0,672,173.161966
0.0,669,179.057996
1.0,672,184.980987
1.0,673,192.625355
1.0,673,198.73859
1.0,668,204.556097
1.0,672,212.066615
1.0,670,217.802696
-37.0,672,223.81673
1.0,666,231.347955
1.0,666,237.080394
1.0,669,242.902506
1.0,671,250.14685
-3.0,668,255.805812
-1.0,666,261.852429
1.0,670,270.167664
1.0,671,276.433033
1.0,669,283.125901
1.0,671,291.408146
1.0,667,298.132148
1.0,666,305.108847
1.0,668,313.647306
1.0,671,320.247285
1.0,670,327.050215
1.0,671,335.328198
0.0,673,341.091556
1.0,667,347.892282
1.0,666,354.356709
1.0,668,362.197461
1.0,673,368.787984
1.0,672,375.256838
1.0,670,383.608904
1.0,669,389.996398
1.0,670,396.572741
1.0,672,405.011747
1.0,666,411.596846
1.0,669,418.280614
-6.0,669,425.873639
1.0,668,432.321721
1.0,671,438.961569
1.0,672,447.088617
1.0,666,453.610492
1.0,670,460.345364
1.0,666,468.468822
1.0,668,475.061406
-1.0,670,481.810746
1.0,665,489.807076
1.0,666,497.157562
1.0,669,504.607828
1.0,666,513.367384
1.0,666,520.130216
1.0,669,527.824942
1.0,671,537.11598
-2.0,668,544.228945
1.0,670,551.018656
1.0,671,559.210525
1.0,668,565.839144
1.0,666,572.37241
1.0,667,581.60712
1.0,670,587.87356
1.0,672,595.175907
1.0,672,603.930688
1.0,666,610.520287
1.0,667,617.23662
1.0,672,625.419211
1.0,671,631.808878
1.0,670,638.248609
1.0,671,646.132701
1.0,669,652.435107
1.0,670,658.81582
1.0,669,667.763725
1.0,670,673.841782
1.0,669,680.549026
1.0,667,689.04846
1.0,668,694.881851
1.0,666,701.603146
1.0,668,708.292298
1.0,665,716.360554
1.0,669,722.919659
1.0,670,729.463881
1.0,666,737.445124
1.0,668,744.316529
1.0,667,750.804344
1.0,667,759.104196
1.0,669,765.791256
1.0,670,772.27236
1.0,671,780.079508
1.0,669,786.895013
1.0,669,793.59249
1.0,670,802.092564
1.0,668,808.956421
1.0,672,815.533189
1.0,666,823.76792
1.0,671,830.417714
1.0,672,837.02047
1.0,667,845.121415
1.0,671,851.87382
1.0,670,858.715614
1.0,671,867.123293
-5.0,666,873.705263
1.0,671,880.100461
1.0,670,888.259145
1.0,668,894.709444
1.0,669,901.335465
1.0,666,910.174287
1.0,672,915.83664
1.0,669,921.723311
1.0,670,928.994394
1.0,673,934.315685
1.0,667,940.279889
1.0,671,947.728867
1.0,669,953.648147
1.0,669,959.365178
1.0,671,966.723014
1.0,669,972.564576
1.0,669,978.6483
1.0,668,986.799366
1.0,667,992.207254
1.0,667,998.195638
1.0,670,1005.979388
1.0,667,1011.457792
1.0,670,1017.773204
1.0,669,1025.481902
1.0,672,1031.072549
1.0,672,1036.941978
1.0,666,1045.262617
1.0,665,1050.715881
1.0,668,1056.593104
1.0,669,1062.598806
1.0,672,1069.70033
1.0,671,1075.598019
1.0,669,1081.377172
1.0,671,1088.564889
1.0,668,1094.613925
1.0,671,1100.576015
1.0,670,1107.585955
1.0,669,1113.480044
1.0,667,1120.498613
1.0,673,1129.596757
1.0,670,1135.980087
1.0,667,1142.392084
1.0,670,1149.850432
1.0,667,1155.889206
1.0,668,1162.494485
1.0,669,1169.35676
1.0,669,1173.756016
1.0,667,1178.538088
1.0,666,1184.727205
1.0,666,1189.585251
1.0,668,1195.027379
1.0,672,1201.677722
1.0,669,1206.66668
-1.0,670,1212.260341
1.0,671,1219.120369
1.0,672,1224.404273
1.0,669,1229.945385
1.0,672,1236.9349
1.0,669,1241.986109
1.0,670,1247.585268
1.0,666,1254.624547
1.0,668,1259.444591
1.0,672,1265.018016
1.0,668,1272.148468
1.0,672,1277.229929
1.0,671,1282.801562
1.0,667,1289.859046
1.0,671,1294.629956
1.0,670,1300.243838
1.0,669,1307.424144
1.0,672,1312.153964
1.0,670,1317.748291
1.0,667,1324.918006
1.0,665,1329.701008
1.0,667,1335.145332
1.0,670,1342.611349
-2.0,673,1347.449373
1.0,667,1352.916485
1.0,670,1358.659383
1.0,667,1365.405224
1.0,667,1370.816027
1.0,666,1376.409565
1.0,671,1382.845475
1.0,666,1388.31589
1.0,671,1393.883696
1.0,667,1400.331874
1.0,671,1406.174759
1.0,666,1412.957122
1.0,670,1420.538066
1.0,671,1426.726836
1.0,671,1433.235986
1.0,668,1441.481017
1.0,670,1447.564537
1.0,672,1453.745088
1.0,671,1460.791593
1.0,671,1466.472913
1.0,668,1472.195809
1.0,667,1479.269848
1.0,667,1485.068514
1.0,668,1490.850886
1.0,667,1498.083445
1.0,671,1503.750966
1.0,666,1509.701314
1.0,669,1516.916153
1.0,671,1522.343735
1.0,666,1528.222625
1.0,669,1535.57773
1.0,666,1541.310925
1.0,668,1547.020333
1.0,667,1554.155848
1.0,666,1559.611459
1.0,667,1565.431195
1.0,670,1572.891704
1.0,667,1578.735446
1.0,669,1584.756882
