#{"t_start": 1778651199.6897428, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,9.597112
-13.0,666,14.320553
-3.0,667,19.033284
-9.0,670,25.562846
1.0,669,30.327478
1.0,672,35.554309
0.0,669,41.57571
0.0,667,45.858122
1.0,671,50.709446
1.0,669,57.184374
-4.0,672,61.710739
1.0,667,66.510319
1.0,668,72.891852
1.0,671,77.536021
1.0,667,82.278976
1.0,671,89.369105
0.0,667,93.712418
-16.0,668,98.486801
-18.0,669,104.61596
1.0,671,108.831603
1.0,668,113.418711
1.0,668,119.866058
0.0,673,124.079602
-29.0,667,128.793844
-19.0,669,135.378016
-13.0,670,139.358631
-17.0,671,144.155722
-3.0,669,150.83403
1.0,669,154.774193
1.0,669,159.356714
-14.0,667,165.697371
-19.0,669,170.018176
1.0,670,174.807452
0.0,673,181.419533
1.0,670,185.392417
-5.0,668,190.084883
1.0,671,196.799168
1.0,668,200.732233
-24.0,666,205.964317
1.0,666,212.665785
-14.0,671,216.401394
1.0,665,220.928281
1.0,672,227.592209
1.0,668,231.46729
-33.0,666,236.156497
1.0,671,243.021531
1.0,667,246.77516
1.0,673,251.469285
1.0,672,258.324294
1.0,671,262.15247
1.0,667,266.585434
1.0,666,271.282796
1.0,667,277.086305
-1.0,668,281.598086
1.0,673,286.232629
1.0,665,292.043113
1.0,666,296.486941
1.0,668,301.1688
1.0,671,307.274319
1.0,669,311.41272
1.0,666,316.161818
1.0,666,322.314976
1.0,665,326.539151
1.0,673,331.335109
1.0,668,337.599266
1.0,667,342.007656
1.0,666,346.648236
1.0,670,352.854981
1.0,666,356.923185
1.0,669,361.723097
-3.0,668,368.126028
1.0,667,372.651142
1.0,669,377.456391
1.0,671,383.60846
1.0,665,387.50179
1.0,672,392.270911
1.0,667,398.617826
1.0,668,402.625555
1.0,670,407.345166
1.0,667,413.892381
1.0,673,418.082293
1.0,672,422.892925
1.0,665,429.608783
1.0,670,433.513233
1.0,672,438.225857
1.0,671,444.767023
1.0,670,448.982264
1.0,671,453.664258
1.0,672,460.215911
1.0,666,464.16438
1.0,668,468.886195
1.0,672,475.722165
0.0,673,479.486969
1.0,670,484.171339
1.0,671,491.204077
1.0,670,495.06603
1.0,667,499.760284
1.0,668,506.971608
1.0,669,510.775529
1.0,673,515.675015
1.0,669,520.413829
1.0,672,526.302057
1.0,667,530.503833
1.0,671,535.238963
1.0,672,541.231502
1.0,666,545.757807
1.0,669,550.391188
1.0,667,557.006687
1.0,666,561.770443
1.0,667,566.37921
1.0,666,572.795637
1.0,668,577.223197
1.0,672,581.897884
1.0,669,587.864968
-1.0,669,591.902205
1.0,671,596.708402
1.0,669,602.810732
1.0,667,607.066271
1.0,666,611.732328
1.0,667,618.357777
1.0,671,622.731082
1.0,668,627.304757
1.0,669,633.687161
1.0,670,637.763801
1.0,670,642.632545
1.0,669,649.030448
1.0,672,653.090287
1.0,671,657.960469
0.0,666,664.429405
1.0,671,668.574745
1.0,670,673.186103
1.0,667,679.80004
1.0,668,683.865945
1.0,669,688.430607
1.0,667,695.197803
1.0,668,699.214112
1.0,665,703.922229
1.0,671,710.997246
1.0,666,714.991472
1.0,666,719.775525
1.0,671,726.665365
1.0,667,730.520691
1.0,671,735.287588
1.0,669,742.398958
1.0,665,746.171249
1.0,671,750.857593
1.0,669,757.943788
1.0,670,761.553905
1.0,668,765.924836
1.0,672,770.742942
1.0,673,776.827927
1.0,670,781.347222
1.0,666,786.111953
1.0,666,792.067932
1.0,672,796.690306
1.0,667,801.32125
1.0,667,807.21661
1.0,671,811.508758
1.0,673,816.428628
1.0,669,831.736618
1.0,668,838.553287
1.0,669,844.130516
1.0,672,851.576909
1.0,666,856.364435
1.0,672,861.467811
1.0,671,868.571625
1.0,671,872.971314
1.0,670,877.600784
1.0,666,883.913479
1.0,669,888.039747
1.0,672,892.713845
1.0,672,899.115714
1.0,669,903.386295
1.0,668,908.052107
1.0,669,914.568382
1.0,667,918.77276
1.0,666,923.488254
1.0,669,929.988005
1.0,666,934.093538
1.0,671,938.939694
