#{"t_start": 1778658784.6729677, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,14.911957
-13.0,666,25.286114
-3.0,667,34.514124
1.0,670,48.515006
-26.0,669,57.211913
1.0,672,66.095893
1.0,669,76.319113
1.0,667,85.283703
-35.0,671,94.722857
-15.0,669,105.49689
-1.0,672,114.318119
1.0,667,130.6139
1.0,668,148.766348
0.0,671,157.850325
1.0,667,166.732098
1.0,671,176.921789
0.0,667,185.409334
1.0,668,194.115862
1.0,669,204.15363
1.0,671,213.905117
1.0,668,222.706229
1.0,668,232.834721
0.0,673,241.663243
-8.0,667,250.268785
-7.0,669,259.958476
1.0,670,268.513659
1.0,671,277.428562
-25.0,669,287.512348
1.0,669,296.274735
-17.0,669,304.738866
0.0,667,314.503174
1.0,669,323.412348
-9.0,670,332.337967
0.0,673,342.348162
1.0,670,351.465834
1.0,668,360.219953
-14.0,671,370.588921
1.0,668,379.356041
-25.0,666,389.346408
0.0,666,400.105819
0.0,671,408.983293
1.0,665,417.638867
1.0,672,427.877501
1.0,668,436.984792
1.0,666,445.515681
1.0,671,456.552644
-1.0,667,470.904313
1.0,673,480.868471
1.0,672,490.858195
1.0,671,499.524338
1.0,667,509.022447
-3.0,666,518.016847
-1.0,667,527.985703
1.0,668,536.757107
1.0,673,545.320736
1.0,665,555.26183
1.0,666,563.94201
1.0,668,573.332606
1.0,671,583.539365
1.0,669,592.324999
1.0,666,600.890696
1.0,666,610.852133
1.0,665,619.236646
1.0,673,628.265473
-32.0,668,638.690303
1.0,667,647.326713
1.0,666,655.958932
1.0,670,665.78465
-3.0,666,675.075158
-23.0,669,683.836741
0.0,668,694.01501
-1.0,667,702.686287
-8.0,669,711.208092
1.0,671,721.252568
1.0,665,730.074452
-23.0,672,738.531011
-6.0,667,748.44972
-13.0,668,757.598426
1.0,670,766.239473
-7.0,667,776.0521
1.0,673,784.844342
1.0,672,794.302211
1.0,665,804.077897
1.0,670,813.433857
1.0,672,822.016527
1.0,671,831.806162
1.0,670,840.352233
1.0,671,848.947497
1.0,672,859.175813
1.0,666,867.852612
1.0,668,877.384392
1.0,672,887.949763
1.0,673,897.273525
1.0,670,905.973813
1.0,671,915.970347
1.0,670,924.581132
1.0,667,933.994894
1.0,668,944.012203
1.0,669,952.482502
1.0,673,961.27095
1.0,669,969.695503
1.0,672,979.676142
1.0,667,988.319966
1.0,671,997.313364
1.0,672,1007.249717
1.0,666,1015.674579
1.0,669,1024.436609
1.0,667,1034.22274
1.0,666,1042.766504
1.0,667,1052.010399
1.0,666,1061.752396
1.0,668,1073.283625
1.0,672,1082.051604
1.0,669,1092.322174
1.0,669,1100.756573
1.0,671,1109.852782
1.0,669,1120.564532
1.0,667,1128.728866
1.0,666,1137.077635
1.0,667,1147.106759
1.0,671,1155.762615
1.0,668,1164.531532
1.0,669,1175.215512
1.0,670,1183.885454
1.0,670,1192.387754
-1.0,669,1202.053761
1.0,672,1210.913006
1.0,671,1220.089925
-2.0,666,1230.383356
1.0,671,1239.354309
0.0,670,1247.903199
1.0,667,1257.688313
1.0,668,1266.603281
1.0,669,1275.087979
1.0,667,1284.95436
1.0,668,1294.121767
1.0,665,1302.687001
1.0,671,1312.305909
1.0,666,1320.739717
1.0,666,1329.669585
1.0,671,1340.116253
1.0,667,1348.798594
1.0,671,1358.014333
1.0,669,1368.176854
1.0,665,1376.930448
1.0,671,1385.808448
1.0,669,1395.796258
1.0,670,1404.263487
1.0,668,1413.374193
1.0,672,1422.163009
1.0,673,1432.417348
1.0,670,1441.467046
1.0,666,1450.284408
1.0,666,1460.295671
1.0,672,1469.138466
1.0,667,1478.37819
1.0,667,1488.375616
1.0,671,1497.212313
1.0,673,1505.984413
1.0,669,1516.057245
1.0,668,1524.874245
1.0,669,1533.68212
1.0,672,1543.842516
1.0,666,1552.413091
1.0,672,1561.3978
1.0,671,1571.611744
1.0,671,1580.096954
1.0,670,1588.682498
1.0,666,1599.109359
1.0,669,1608.253823
1.0,672,1617.093746
1.0,672,1627.173314
1.0,669,1636.261953
1.0,668,1645.067769
1.0,669,1655.418081
1.0,667,1664.290695
1.0,666,1673.120184
1.0,669,1683.179436
0.0,666,1692.51392
0.0,671,1701.471555
1.0,666,1711.921229
1.0,672,1720.376545
1.0,667,1729.065476
1.0,666,1739.129757
1.0,666,1747.652922
1.0,667,1756.24709
1.0,670,1766.402853
1.0,668,1774.96539
1.0,672,1783.68979
1.0,668,1794.300439
1.0,671,1803.5375
1.0,669,1811.772807
1.0,668,1821.965685
1.0,666,1830.412097
1.0,672,1838.98942
