#{"t_start": 1778646515.503729, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,8.751244
-13.0,666,13.282304
-3.0,667,17.93302
-33.0,670,22.593087
1.0,669,27.206507
-23.0,672,31.98143
1.0,669,38.495076
1.0,667,42.06743
1.0,671,46.590714
1.0,669,51.31219
1.0,672,56.174769
1.0,667,60.991225
1.0,668,67.626026
1.0,671,71.756217
1.0,667,76.436373
-4.0,671,80.946148
1.0,667,85.766176
1.0,668,90.363724
-19.0,669,96.702096
-10.0,671,100.426717
1.0,668,104.673784
1.0,668,108.925943
0.0,673,113.33447
1.0,667,117.955835
1.0,669,125.200079
-3.0,670,129.065385
1.0,671,133.626491
0.0,669,138.311638
-23.0,669,142.892064
-58.0,669,147.589437
1.0,667,154.348024
-32.0,669,157.597134
1.0,670,162.705408
-31.0,673,168.274849
1.0,670,173.303245
-8.0,668,178.176507
-30.0,671,184.915778
1.0,668,188.216107
1.0,666,192.425412
1.0,666,196.824075
-8.0,671,201.283651
1.0,665,205.800917
1.0,672,213.25754
-1.0,668,217.22559
1.0,666,221.758476
1.0,671,226.560617
1.0,667,231.147096
1.0,673,235.948319
1.0,672,243.652859
1.0,671,246.925773
1.0,667,250.771438
1.0,666,255.43136
1.0,667,260.064102
-3.0,668,264.94548
1.0,673,269.510741
-3.0,665,276.425452
1.0,666,280.95805
1.0,668,285.551368
1.0,671,290.312424
1.0,669,294.9544
1.0,666,299.567004
1.0,666,305.976565
1.0,665,309.33364
1.0,673,313.685314
1.0,668,318.113715
1.0,667,322.377547
1.0,666,327.199483
1.0,670,334.859177
1.0,666,339.162864
1.0,669,343.968513
1.0,668,348.806453
1.0,667,353.612354
1.0,669,358.308296
1.0,671,365.15641
1.0,665,368.724686
1.0,672,372.9484
1.0,667,377.390949
1.0,668,381.876047
1.0,670,386.725561
1.0,667,393.814926
1.0,673,397.69527
1.0,672,402.235191
1.0,665,406.995778
1.0,670,411.590731
1.0,672,416.310497
1.0,671,422.977334
1.0,670,426.182678
1.0,671,430.159752
1.0,672,434.54035
-7.0,666,438.903369
1.0,668,443.658181
1.0,672,450.975601
0.0,673,454.670927
1.0,670,459.36481
1.0,671,464.02011
1.0,670,468.635229
1.0,667,473.42479
1.0,668,480.648601
1.0,669,484.034061
1.0,673,488.135947
1.0,669,492.469497
1.0,672,496.793038
1.0,667,501.53054
1.0,671,506.394387
1.0,672,513.115469
1.0,666,517.564885
1.0,669,522.172109
1.0,667,526.915329
1.0,666,531.579877
-21.0,667,536.203375
1.0,666,542.198518
1.0,668,545.80249
1.0,672,550.230614
1.0,669,554.559998
1.0,669,559.112078
1.0,671,564.091094
1.0,669,570.76621
1.0,667,574.897208
1.0,666,579.687208
1.0,667,584.27005
1.0,671,588.96995
1.0,668,593.681163
1.0,669,599.998628
1.0,670,603.319073
1.0,670,607.476075
1.0,669,611.844543
1.0,672,616.254036
1.0,671,620.865054
1.0,666,627.788217
1.0,671,631.795109
1.0,670,636.543432
1.0,667,641.186611
1.0,668,645.917808
1.0,669,650.522412
