#{"t_start": 1778667035.0824072, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,30.035047
-13.0,666,41.649248
-3.0,667,49.94722
-33.0,670,59.010316
1.0,669,67.757671
-23.0,672,76.024289
1.0,669,91.841638
1.0,667,100.424213
0.0,671,109.181259
1.0,669,117.358845
-8.0,672,126.314669
-3.0,667,134.496487
1.0,668,147.955727
1.0,671,156.680023
1.0,667,165.188957
-29.0,671,173.739492
-5.0,667,182.324112
1.0,668,190.917691
1.0,669,204.254363
-57.0,671,212.739734
1.0,668,221.530026
1.0,668,230.026805
1.0,673,238.367357
-7.0,667,247.117995
1.0,669,260.771121
1.0,670,269.2839
0.0,671,278.229476
-4.0,669,287.101254
-76.0,669,295.461687
-3.0,669,304.079164
1.0,667,317.51358
1.0,669,326.01328
0.0,670,334.613791
1.0,673,343.586186
0.0,670,352.106665
1.0,668,360.982326
-3.0,671,374.908578
0.0,668,383.761476
1.0,666,392.514589
1.0,666,400.910699
1.0,671,409.260253
-8.0,665,417.644926
1.0,672,431.514872
0.0,668,440.069417
-6.0,666,448.713375
-29.0,671,457.239012
1.0,667,465.881311
1.0,673,474.623978
1.0,672,488.506839
1.0,671,497.229764
0.0,667,506.373664
1.0,666,514.889771
1.0,667,523.409161
1.0,668,531.782557
-2.0,673,540.531943
1.0,665,553.915373
0.0,666,562.333271
1.0,668,570.708513
0.0,671,579.04561
-3.0,669,587.497509
0.0,666,595.979701
-12.0,666,612.4508
1.0,665,620.876237
0.0,673,629.300308
0.0,668,637.740506
1.0,667,646.023236
1.0,666,654.187459
1.0,670,668.605289
0.0,666,677.863107
-2.0,669,686.445269
1.0,668,694.592528
1.0,667,702.692678
1.0,669,711.027695
-11.0,671,724.444001
1.0,665,732.915333
1.0,672,741.675121
0.0,667,751.164843
0.0,668,759.516064
-3.0,670,767.833412
1.0,667,781.776469
1.0,673,790.305406
1.0,672,799.028199
1.0,665,807.147472
-13.0,670,815.442139
1.0,672,823.711803
1.0,671,837.263474
-8.0,670,846.256079
1.0,671,854.752976
0.0,672,863.566788
1.0,666,872.18045
1.0,668,880.723175
1.0,672,894.161572
1.0,673,903.191871
1.0,670,911.686215
1.0,671,920.420647
1.0,670,928.891634
0.0,667,937.232664
-2.0,668,950.308004
1.0,669,958.765905
0.0,673,967.270231
-7.0,669,975.551151
-11.0,672,983.959495
-4.0,667,992.006209
1.0,671,1000.300595
1.0,672,1014.788293
1.0,666,1023.693742
1.0,669,1032.359864
1.0,667,1040.989474
1.0,666,1049.550169
0.0,667,1058.137544
1.0,666,1071.650039
1.0,668,1080.629669
1.0,672,1089.050692
1.0,669,1097.240373
1.0,669,1105.434999
1.0,671,1113.632005
1.0,669,1127.706227
1.0,667,1136.592068
-3.0,666,1145.507525
1.0,667,1153.700827
1.0,671,1162.105134
1.0,668,1170.592061
1.0,669,1184.334824
1.0,670,1200.044244
1.0,670,1208.656545
1.0,669,1217.014442
1.0,672,1225.486417
1.0,671,1233.929337
1.0,666,1247.203978
1.0,671,1256.0066
1.0,670,1265.227688
1.0,667,1273.501195
1.0,668,1281.725726
1.0,669,1290.188189
1.0,667,1303.554405
1.0,668,1311.839577
1.0,665,1320.838609
1.0,671,1329.412947
1.0,666,1337.913704
1.0,666,1346.366238
1.0,671,1359.769684
1.0,667,1368.296704
1.0,671,1377.181197
1.0,669,1386.314699
1.0,665,1394.655739
1.0,671,1402.829382
1.0,669,1416.484917
1.0,670,1424.846067
1.0,668,1433.096479
1.0,672,1442.209991
1.0,673,1450.791911
1.0,670,1458.93914
1.0,666,1467.299594
1.0,666,1480.926049
-24.0,672,1489.349641
1.0,667,1498.169973
1.0,667,1506.916092
1.0,671,1515.127607
-3.0,673,1523.509439
1.0,669,1536.660367
1.0,668,1545.094804
1.0,669,1553.787788
1.0,672,1563.134725
1.0,666,1571.386691
1.0,672,1581.928174
1.0,671,1595.247839
-3.0,671,1603.616899
1.0,670,1612.08229
1.0,666,1620.962888
1.0,669,1629.395771
1.0,672,1637.553809
1.0,672,1650.733044
1.0,669,1659.269738
1.0,668,1667.717453
1.0,669,1676.177159
1.0,667,1685.174968
1.0,666,1693.389289
1.0,669,1706.257039
1.0,666,1714.957764
1.0,671,1723.059299
1.0,666,1731.421206
1.0,672,1745.604194
1.0,667,1754.207609
1.0,666,1767.214137
1.0,666,1775.721066
1.0,667,1784.544714
1.0,670,1792.746387
1.0,668,1801.467246
1.0,672,1810.279307
1.0,668,1823.70836
1.0,671,1832.384561
1.0,669,1840.889182
1.0,668,1849.405792
1.0,666,1858.012106
1.0,672,1866.934174
1.0,667,1879.959167
1.0,666,1888.731358
1.0,667,1897.338317
1.0,667,1905.80017
1.0,671,1914.118725
1.0,666,1922.75021
1.0,672,1931.223314
1.0,668,1944.88239
1.0,669,1953.472405
1.0,668,1962.16624
1.0,667,1970.333169
1.0,672,1978.617091
