#{"t_start": 1778642132.2175074, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,12.648787
-13.0,666,17.021108
-3.0,667,21.421607
0.0,670,30.987035
1.0,669,34.878337
-34.0,672,39.305349
1.0,669,44.130128
1.0,667,48.327548
0.0,671,53.276763
1.0,669,58.847245
1.0,672,63.553087
1.0,667,68.18545
1.0,668,73.84593
1.0,671,78.052293
1.0,667,82.890334
1.0,671,88.507481
-1.0,667,93.034091
1.0,668,97.627539
1.0,669,103.193566
1.0,671,107.458525
1.0,668,112.252206
-38.0,668,117.856215
1.0,673,122.517786
1.0,667,127.201342
1.0,669,133.223206
0.0,670,137.362211
-1.0,671,142.147073
1.0,669,148.128045
1.0,669,152.237148
1.0,669,157.142043
1.0,667,162.911534
1.0,669,167.005954
-3.0,670,171.676296
1.0,673,177.667137
1.0,670,181.514489
1.0,668,186.339085
1.0,671,192.691424
1.0,668,196.616728
-10.0,666,201.324984
1.0,666,207.192236
1.0,671,210.877883
1.0,665,215.511324
1.0,672,221.687899
1.0,668,225.298547
1.0,666,229.85399
1.0,671,235.96643
1.0,667,239.653615
1.0,673,244.313079
1.0,672,250.485172
1.0,671,254.14389
1.0,667,258.67039
1.0,666,263.399184
-3.0,667,268.699811
1.0,668,273.278288
1.0,673,277.863631
0.0,665,283.218952
1.0,666,287.46561
1.0,668,292.050257
1.0,671,297.292869
1.0,669,301.603737
1.0,666,306.477564
1.0,666,312.041039
1.0,665,316.173928
1.0,673,321.014356
1.0,668,326.28458
1.0,667,330.853583
1.0,666,335.424981
1.0,670,341.345803
1.0,666,345.831354
1.0,669,350.65116
1.0,668,356.28863
1.0,667,360.218249
1.0,669,364.830322
1.0,671,370.338003
1.0,665,374.238014
1.0,672,378.913774
1.0,667,384.396836
1.0,668,388.340593
1.0,670,392.906931
1.0,667,398.693342
1.0,673,402.638503
1.0,672,407.329941
1.0,665,412.830946
1.0,670,416.570081
1.0,672,421.11637
1.0,671,427.066294
1.0,670,430.967988
1.0,671,435.41367
1.0,672,441.450513
1.0,666,445.575589
1.0,668,450.37706
1.0,672,456.460189
1.0,673,460.224485
1.0,670,464.856915
1.0,671,471.147697
1.0,670,474.869648
-7.0,667,479.406468
-39.0,668,485.820801
1.0,669,489.433261
1.0,673,494.093246
1.0,669,498.743331
1.0,672,504.038535
1.0,667,508.327879
1.0,671,512.949663
1.0,672,518.183896
1.0,666,522.642059
1.0,669,527.310871
1.0,667,532.351964
1.0,666,535.999634
1.0,667,540.558752
1.0,666,545.961681
1.0,668,550.109329
1.0,672,554.686346
1.0,669,560.036565
1.0,669,564.168148
1.0,671,568.601975
-2.0,669,573.980539
1.0,667,578.217554
1.0,666,582.723542
1.0,667,588.357391
1.0,671,592.366076
1.0,668,597.073816
1.0,669,602.78895
1.0,670,606.765197
1.0,670,611.406118
1.0,669,617.100028
1.0,672,621.095305
1.0,671,625.766608
1.0,666,631.693702
1.0,671,635.57422
1.0,670,640.168754
1.0,667,645.826469
1.0,668,649.586962
1.0,669,654.231676
1.0,667,660.014444
1.0,668,664.123681
1.0,665,668.606042
1.0,671,674.309141
1.0,666,677.991982
1.0,666,682.541162
1.0,671,688.415975
1.0,667,692.103326
1.0,671,696.594802
1.0,669,702.744135
1.0,665,706.462194
1.0,671,711.061331
1.0,669,717.04392
1.0,670,720.880692
1.0,668,725.483063
1.0,672,730.534225
1.0,673,735.590626
1.0,670,739.998574
1.0,666,744.628803
1.0,666,749.878893
-8.0,672,754.143325
1.0,667,758.647146
1.0,667,764.110069
1.0,671,768.352721
1.0,673,773.093991
1.0,669,778.356834
1.0,668,782.686675
1.0,669,787.258924
1.0,672,792.901426
1.0,666,797.129881
1.0,672,801.900477
1.0,671,807.216851
1.0,671,811.694401
1.0,670,816.252063
1.0,666,821.627376
1.0,669,825.112608
1.0,672,829.783742
1.0,672,835.362879
1.0,669,839.493773
1.0,668,844.29461
1.0,669,849.875736
1.0,667,853.752607
1.0,666,858.229748
1.0,669,864.066761
1.0,666,867.993883
1.0,671,872.711477
1.0,666,878.50123
1.0,672,882.432175
1.0,667,887.010503
1.0,666,893.15522
1.0,666,896.921532
1.0,667,901.67622
1.0,670,908.200773
1.0,668,912.731971
1.0,672,917.345575
1.0,668,923.320204
1.0,671,927.18784
1.0,669,931.72856
1.0,668,937.968574
1.0,666,941.714821
1.0,672,946.091529
1.0,667,952.379124
1.0,666,956.037862
1.0,667,960.47759
1.0,667,965.336652
1.0,671,970.541505
1.0,666,975.056555
1.0,672,979.766762
1.0,668,984.855502
1.0,669,989.263229
1.0,668,993.753322
1.0,667,999.481842
1.0,672,1003.686097
