#{"t_start": 1778640436.8382459, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,666,1549.866192
1.0,667,1554.362642
1.0,668,1560.107191
1.0,666,1563.993434
1.0,672,1568.442688
1.0,670,1574.149542
1.0,670,1578.35859
-6.0,670,1583.012524
1.0,672,1588.823504
1.0,671,1592.652483
1.0,672,1597.324869
1.0,671,1603.2489
1.0,665,1607.06522
1.0,669,1611.743237
1.0,667,1617.704401
1.0,666,1621.536474
1.0,672,1626.035218
1.0,672,1631.987653
1.0,669,1635.903482
1.0,666,1640.655676
1.0,668,1646.675598
1.0,668,1650.349436
0.0,673,1655.035191
1.0,671,1661.504728
1.0,671,1665.386395
1.0,671,1669.816825
