#{"t_start": 1778648037.9921517, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,7.328241
1.0,666,11.688501
1.0,668,16.937387
-3.0,667,24.501279
1.0,673,29.628634
1.0,669,34.745319
1.0,670,42.20099
-35.0,666,47.452569
1.0,671,52.552879
-45.0,668,59.507308
-38.0,669,64.367214
-6.0,667,69.545646
1.0,671,76.301121
-15.0,670,81.231594
1.0,667,86.447191
-63.0,668,93.260956
1.0,673,98.06241
1.0,669,103.353637
-44.0,672,110.054244
-36.0,670,114.809808
-38.0,669,119.839705
-43.0,667,126.544461
1.0,667,131.057785
1.0,668,136.085285
-37.0,672,142.951301
0.0,669,147.425809
1.0,672,152.505954
1.0,673,159.568537
-2.0,673,164.214567
-2.0,668,169.151497
1.0,672,176.233648
-35.0,670,180.863604
1.0,672,186.021639
1.0,666,193.305322
1.0,666,197.68399
0.0,669,202.789842
1.0,671,210.311325
0.0,668,214.741502
0.0,666,220.06214
-30.0,670,227.47699
1.0,671,231.912018
1.0,669,237.091057
-33.0,671,244.452543
1.0,667,248.650539
-3.0,666,253.724434
-2.0,668,261.195265
-24.0,671,265.236457
1.0,670,270.386346
1.0,671,278.173086
1.0,673,282.622268
1.0,667,287.726089
-3.0,666,293.010891
1.0,668,299.735551
-3.0,673,304.789443
-24.0,672,309.873388
1.0,670,316.640251
1.0,669,321.838758
-3.0,670,326.887592
0.0,672,333.643322
1.0,666,339.023434
1.0,669,344.207121
0.0,669,351.148817
1.0,668,356.041298
-1.0,671,365.135544
-21.0,672,372.426568
1.0,666,377.223381
1.0,670,382.529356
1.0,666,390.622094
-1.0,668,395.810041
-9.0,670,400.983198
1.0,665,408.232309
-7.0,666,413.199358
-39.0,669,418.34935
0.0,666,425.394678
1.0,666,430.182753
-24.0,669,435.61038
1.0,671,442.721643
1.0,668,447.374775
1.0,670,453.021987
1.0,671,460.420315
1.0,668,465.544019
-6.0,666,470.609936
1.0,667,477.815188
0.0,670,482.371197
1.0,672,487.386971
-1.0,672,494.841403
1.0,666,499.369588
1.0,667,504.644997
1.0,672,511.852421
1.0,671,516.197479
1.0,670,521.534615
1.0,671,528.769985
1.0,669,533.18489
1.0,670,538.436959
1.0,669,545.432106
1.0,670,549.775001
1.0,669,555.066126
1.0,667,562.302841
1.0,668,566.705535
1.0,666,572.72002
1.0,668,577.609481
1.0,665,583.693167
1.0,669,588.195538
1.0,670,592.934761
1.0,666,598.982135
1.0,668,603.47072
1.0,667,608.172829
1.0,667,614.436517
1.0,669,618.87852
1.0,670,623.627207
1.0,671,629.854501
1.0,669,634.158146
1.0,669,639.098467
1.0,670,645.428649
1.0,668,649.662485
1.0,672,654.3253
-1.0,666,660.610766
1.0,671,665.056968
1.0,672,669.802637
1.0,667,676.127549
1.0,671,680.375334
1.0,670,685.012079
1.0,671,691.230687
1.0,666,695.220839
1.0,671,700.147835
1.0,670,706.545529
1.0,668,710.488984
1.0,669,715.175131
1.0,666,721.668617
1.0,672,726.024366
1.0,669,730.698475
1.0,670,737.100251
1.0,673,741.169564
1.0,667,745.973994
1.0,671,752.425179
1.0,669,756.32742
1.0,669,761.020249
1.0,671,767.660913
1.0,669,771.437403
1.0,669,775.945902
1.0,668,782.45321
1.0,667,786.150636
1.0,667,790.809115
1.0,670,797.567231
1.0,667,801.479547
1.0,670,806.132627
1.0,669,816.267891
1.0,672,822.233888
-3.0,672,826.985498
1.0,666,833.968729
1.0,665,837.520348
1.0,668,842.140059
1.0,669,846.886475
1.0,672,852.858765
1.0,671,857.521657
1.0,669,862.220894
1.0,671,868.124571
1.0,668,872.447737
1.0,671,877.206259
1.0,670,883.155464
1.0,669,887.388475
1.0,667,892.210382
1.0,673,898.334498
1.0,670,902.780158
1.0,667,907.560519
1.0,670,913.951754
1.0,667,918.228237
1.0,668,922.989863
1.0,669,929.467796
1.0,669,933.981772
1.0,667,938.674631
1.0,666,945.016408
1.0,666,949.106965
1.0,668,953.861341
1.0,672,960.601691
1.0,669,964.678024
1.0,670,969.438042
1.0,671,976.157278
1.0,672,980.019316
1.0,669,984.71652
1.0,672,991.337291
1.0,669,995.269023
1.0,670,1000.070416
1.0,666,1006.494269
1.0,668,1010.540031
1.0,672,1015.68275
1.0,668,1022.253925
1.0,672,1026.251035
1.0,671,1030.918517
1.0,667,1037.493208
1.0,671,1041.299764
1.0,670,1045.809433
1.0,669,1052.337883
1.0,672,1056.38865
1.0,670,1061.193752
1.0,667,1067.939234
1.0,665,1071.555146
1.0,667,1076.189845
1.0,670,1082.939075
1.0,673,1086.751502
1.0,667,1091.233205
1.0,670,1096.031861
1.0,667,1101.72596
1.0,667,1106.369674
1.0,666,1110.953858
1.0,671,1117.480028
1.0,666,1123.754617
1.0,671,1128.439233
1.0,667,1134.384465
1.0,671,1138.855531
1.0,666,1143.535395
1.0,670,1149.503539
1.0,671,1153.628732
1.0,671,1158.406083
1.0,668,1164.593862
1.0,670,1168.725213
1.0,672,1173.471918
1.0,671,1179.638559
1.0,671,1184.049199
1.0,668,1188.715845
1.0,667,1195.027804
1.0,667,1199.163283
1.0,668,1203.989929
1.0,667,1210.216079
1.0,671,1214.136432
1.0,666,1218.867182
1.0,669,1225.345534
1.0,671,1229.577781
1.0,666,1234.803289
1.0,669,1241.607325
1.0,666,1245.651531
1.0,668,1250.286182
1.0,667,1256.670674
1.0,666,1260.600075
1.0,667,1265.428981
1.0,670,1271.866668
1.0,667,1275.643283
1.0,669,1280.2486
1.0,668,1286.655102
1.0,667,1290.536888
1.0,672,1295.159871
1.0,666,1301.845549
1.0,666,1305.515344
-1.0,671,1310.258337
1.0,666,1316.998312
1.0,668,1320.787209
1.0,673,1325.373128
1.0,666,1332.237042
1.0,670,1335.946445
1.0,669,1340.318102
1.0,672,1345.026817
1.0,671,1350.998098
1.0,669,1355.869976
