#{"t_start": 1778638496.7889214, "env_id": "ALE/PrivateEye-v5"}
r,l,t
0.0,666,9.881688
-13.0,666,14.42795
-3.0,667,19.066279
-29.0,670,24.683442
1.0,669,28.82079
-14.0,672,33.612628
1.0,669,39.059811
-8.0,667,43.365016
1.0,671,48.085966
1.0,669,53.483707
-16.0,672,57.584586
1.0,667,62.239043
1.0,668,67.606159
-41.0,671,71.826755
-3.0,667,76.47604
-3.0,671,82.051587
1.0,667,86.215473
1.0,668,90.821793
1.0,669,96.672447
1.0,671,100.917276
1.0,668,105.559768
-46.0,668,111.008117
-22.0,673,115.012509
-18.0,667,119.696867
-13.0,669,125.59167
1.0,670,129.382125
1.0,671,134.031446
1.0,669,139.635548
-2.0,669,143.537703
-3.0,669,148.10036
1.0,667,154.122664
-3.0,669,158.09161
-23.0,670,162.7709
0.0,673,168.62475
-28.0,670,172.439669
-32.0,668,177.120119
1.0,671,183.113813
1.0,668,186.936887
1.0,666,191.379681
1.0,666,197.256649
1.0,671,200.894574
1.0,665,205.596575
1.0,672,212.148758
1.0,668,216.19413
1.0,666,220.865736
1.0,671,227.020802
1.0,667,230.638225
1.0,673,235.163045
1.0,672,241.428545
-23.0,671,245.02856
1.0,667,249.234623
-36.0,666,253.905928
1.0,667,258.868518
1.0,668,263.111115
1.0,673,267.703101
-23.0,665,273.040629
-16.0,666,277.569278
1.0,668,282.312442
-3.0,671,287.541345
1.0,669,291.819568
1.0,666,296.367987
1.0,666,301.499708
1.0,665,305.923018
1.0,673,310.379987
-22.0,668,315.848632
1.0,667,319.852754
1.0,666,324.539654
1.0,670,330.021817
1.0,666,334.016621
-9.0,669,338.57479
1.0,668,344.091108
1.0,667,347.952172
1.0,669,352.500869
1.0,671,358.009859
1.0,665,361.929611
1.0,672,366.74912
1.0,667,372.453863
1.0,668,376.454553
1.0,670,381.063193
1.0,667,387.017548
1.0,673,390.748614
1.0,672,395.426113
1.0,665,401.269797
1.0,670,405.190413
1.0,672,409.829378
1.0,671,415.657428
1.0,670,419.421601
1.0,671,424.053151
1.0,672,430.051214
1.0,666,433.545272
1.0,668,438.130429
1.0,672,444.278732
1.0,673,447.800364
1.0,670,452.277798
1.0,671,458.605539
1.0,670,462.616943
1.0,667,467.250638
1.0,668,473.447563
1.0,669,477.063856
1.0,673,481.722786
1.0,669,486.633466
1.0,672,492.051938
1.0,667,496.600951
1.0,671,501.374162
1.0,672,506.492834
1.0,666,510.898847
1.0,669,515.539946
1.0,667,520.944192
1.0,666,525.268462
-11.0,667,529.875049
1.0,666,535.131983
1.0,668,539.172639
1.0,672,543.926141
1.0,669,549.401901
1.0,669,553.381751
1.0,671,557.866012
1.0,669,563.326476
1.0,667,567.16568
1.0,666,571.679805
1.0,667,577.321646
1.0,671,581.646577
1.0,668,586.321833
1.0,669,592.318356
1.0,670,596.508564
1.0,670,601.239636
1.0,669,607.346813
1.0,672,611.311614
1.0,671,615.888299
1.0,666,621.640672
1.0,671,625.493752
1.0,670,630.142739
1.0,667,635.971579
1.0,668,639.788748
1.0,669,644.326196
1.0,667,650.110773
-1.0,668,653.978674
1.0,665,658.565728
1.0,671,664.323582
1.0,666,668.16164
