#{"t_start": 1778649642.4132996, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,9.9456
1.0,670,14.741858
0.0,673,19.623118
-31.0,671,26.044019
-27.0,672,30.391652
0.0,668,35.044616
-39.0,667,40.929581
1.0,670,45.434223
-24.0,667,50.170643
-21.0,671,56.538173
1.0,667,61.082465
-22.0,666,65.649025
0.0,671,71.945058
-37.0,671,76.256775
0.0,672,81.042648
1.0,669,87.346894
1.0,669,91.450913
0.0,672,96.133612
1.0,667,102.716209
-26.0,666,106.906961
1.0,666,111.458487
1.0,670,117.882618
-24.0,666,122.0121
1.0,668,126.770504
1.0,668,133.027966
1.0,667,136.962679
1.0,666,141.785454
-48.0,670,147.903539
1.0,669,151.770641
1.0,667,156.331984
0.0,668,162.7447
-42.0,667,166.550192
1.0,671,171.4174
0.0,669,178.193617
0.0,668,182.002318
1.0,671,186.71092
1.0,667,193.586564
0.0,669,197.377314
1.0,672,201.958538
-60.0,672,208.549408
1.0,670,212.458091
1.0,667,217.037238
1.0,671,223.714675
-39.0,668,227.307474
0.0,672,231.934204
0.0,667,238.719034
1.0,671,242.465167
1.0,670,246.94977
0.0,667,253.729154
1.0,667,257.382114
0.0,667,262.04677
0.0,666,266.627236
1.0,672,272.566
1.0,669,276.889258
1.0,672,281.63281
1.0,670,287.569715
1.0,667,291.936475
1.0,666,296.641211
1.0,670,302.685297
-29.0,672,307.081756
1.0,672,311.622798
1.0,671,317.581899
0.0,671,321.870703
1.0,669,326.624513
-14.0,669,332.768074
-1.0,672,337.220061
1.0,666,342.028092
1.0,667,348.384133
1.0,671,352.849837
1.0,671,357.638298
1.0,668,363.817872
-8.0,672,368.031704
1.0,668,372.620799
1.0,668,378.968971
1.0,670,382.926755
1.0,672,387.748604
-3.0,666,394.216625
1.0,672,398.556808
1.0,667,403.183055
1.0,668,409.8988
1.0,670,414.118448
1.0,670,418.898665
1.0,670,425.358926
1.0,671,429.374019
1.0,669,434.036553
1.0,671,440.806637
1.0,666,444.833642
1.0,666,449.522929
1.0,671,456.223908
-1.0,671,460.15124
-3.0,665,464.913411
1.0,670,471.713041
1.0,667,475.657521
1.0,667,480.372244
1.0,671,487.55181
1.0,668,491.349857
-3.0,667,495.867228
1.0,668,502.877371
1.0,672,506.67062
1.0,671,510.99855
1.0,671,517.945012
1.0,669,521.612552
1.0,671,526.322703
1.0,673,531.055984
1.0,669,537.679768
1.0,668,542.369435
1.0,668,547.204452
1.0,673,553.692611
1.0,667,558.298546
1.0,666,562.934523
-3.0,672,568.955833
1.0,668,573.141106
1.0,672,577.970409
1.0,670,584.115977
1.0,670,588.290648
1.0,671,593.064544
1.0,665,599.396499
1.0,668,603.701985
1.0,667,608.27409
1.0,667,614.430253
1.0,672,618.585823
1.0,672,623.377258
1.0,672,629.694443
1.0,671,633.645526
1.0,673,638.420391
1.0,668,644.764026
1.0,665,648.981308
1.0,666,654.145408
1.0,667,660.65161
1.0,669,664.651319
1.0,667,669.38386
1.0,669,675.694959
1.0,670,679.64366
1.0,668,684.555401
1.0,665,690.989269
1.0,672,695.805941
1.0,666,701.004602
1.0,670,707.799418
1.0,667,711.532954
1.0,666,716.240655
1.0,670,723.824669
1.0,669,727.570493
1.0,667,732.259936
1.0,671,739.204981
1.0,668,743.005697
1.0,666,747.628269
1.0,671,754.53662
1.0,666,758.301224
1.0,670,763.058951
1.0,669,770.2254
1.0,667,773.983435
1.0,667,778.715625
1.0,668,783.410658
1.0,668,789.408978
1.0,670,793.77525
1.0,667,798.588327
1.0,672,804.658075
1.0,666,809.233622
1.0,672,814.014132
1.0,672,820.395674
1.0,667,824.752605
1.0,667,829.414296
1.0,668,835.638975
1.0,668,840.063092
1.0,671,844.741216
1.0,669,851.197929
1.0,671,855.378915
1.0,672,860.246051
1.0,673,866.724351
1.0,671,870.881276
1.0,669,875.670084
1.0,666,882.475972
1.0,672,886.662693
1.0,672,891.573645
1.0,667,898.11588
1.0,666,902.173921
1.0,671,906.881935
1.0,672,913.411923
1.0,669,917.495616
1.0,672,922.207664
1.0,672,928.787934
1.0,671,932.758031
1.0,670,937.522637
1.0,667,944.096945
1.0,667,948.063717
1.0,672,952.979308
1.0,671,959.643772
1.0,672,963.608089
1.0,668,968.33896
1.0,669,975.037698
1.0,668,978.909971
1.0,672,983.462701
1.0,666,990.021113
1.0,670,993.797164
1.0,667,998.348683
1.0,670,1005.227157
1.0,668,1008.955325
1.0,666,1013.87767
1.0,672,1022.185024
1.0,668,1025.874754
1.0,672,1030.583054
1.0,672,1037.656505
1.0,672,1041.535189
1.0,668,1046.14238
1.0,668,1050.900695
1.0,665,1057.020571
1.0,668,1061.405521
1.0,666,1066.078584
1.0,669,1072.180163
1.0,672,1076.586215
1.0,666,1081.223729
1.0,670,1087.492682
1.0,672,1091.942036
1.0,665,1096.549053
1.0,671,1102.954753
1.0,666,1107.292728
1.0,671,1112.168398
1.0,670,1118.852826
1.0,666,1123.236576
1.0,671,1127.999418
1.0,670,1134.622413
1.0,668,1138.781276
1.0,671,1143.594275
1.0,673,1149.782894
1.0,670,1153.932705
1.0,668,1158.554461
1.0,673,1165.022675
1.0,669,1169.155503
1.0,669,1173.93737
1.0,666,1180.596545
1.0,668,1184.560273
1.0,672,1189.304606
1.0,668,1196.145937
1.0,666,1200.163755
1.0,672,1204.930168
1.0,665,1211.865232
1.0,667,1215.652717
1.0,666,1220.305726
1.0,667,1227.121685
1.0,669,1230.933337
1.0,667,1235.583799
1.0,668,1243.073714
1.0,666,1247.780197
1.0,666,1253.702954
1.0,670,1262.530312
1.0,666,1268.492636
1.0,666,1273.821605
1.0,668,1283.040345
1.0,667,1287.286695
1.0,670,1291.922012
1.0,667,1296.684224
1.0,670,1302.783395
1.0,667,1307.229565
1.0,670,1311.938196
1.0,671,1317.789698
1.0,666,1322.321863
1.0,668,1326.893458
1.0,667,1332.935225
1.0,672,1337.295596
1.0,672,1342.413157
1.0,671,1348.649335
1.0,668,1352.87762
1.0,668,1357.566741
1.0,669,1363.627963
1.0,669,1367.949758
1.0,672,1372.691857
1.0,669,1379.0407
1.0,672,1383.561067
1.0,668,1388.144877
1.0,666,1394.438308
1.0,672,1398.500933
1.0,667,1403.217951
1.0,670,1409.48737
1.0,666,1413.569907
1.0,667,1418.184998
1.0,668,1424.432285
1.0,666,1428.380507
-3.0,672,1433.05269
1.0,670,1439.461297
1.0,670,1443.436181
1.0,670,1448.179922
1.0,672,1454.623659
1.0,671,1458.29373
1.0,672,1462.819675
1.0,671,1469.137034
1.0,665,1473.033579
1.0,669,1477.767719
1.0,667,1484.731763
1.0,666,1488.960908
1.0,672,1494.215485
1.0,672,1501.204278
1.0,669,1505.005855
1.0,666,1509.796144
1.0,668,1517.232596
1.0,668,1521.437116
1.0,673,1526.628465
1.0,671,1533.856908
1.0,671,1537.5495
1.0,671,1542.261205
