#{"t_start": 1778661603.0333552, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,16.67799
1.0,666,26.270225
1.0,668,35.508026
0.0,667,44.043513
-3.0,673,52.59017
0.0,669,61.116699
1.0,670,77.142105
1.0,666,85.720829
1.0,671,95.896643
1.0,668,104.755613
-2.0,669,113.611206
1.0,667,122.400426
-3.0,671,136.799958
-16.0,670,145.318393
1.0,667,155.650687
-33.0,668,164.472367
-2.0,673,173.951905
1.0,669,182.716673
1.0,672,196.646777
1.0,670,205.222118
1.0,669,214.355665
-17.0,667,223.231913
1.0,667,231.774697
-16.0,668,240.169299
1.0,672,253.550287
-40.0,669,262.184131
1.0,672,270.65578
1.0,673,279.660018
1.0,673,288.322967
1.0,668,296.51786
1.0,672,310.308634
1.0,670,319.948726
1.0,672,328.898582
1.0,666,338.161458
-10.0,666,346.706448
-4.0,669,355.495805
-9.0,671,371.141745
1.0,668,379.875545
-22.0,666,388.704283
-5.0,670,408.332485
-36.0,671,421.255079
0.0,669,429.692091
1.0,671,443.461252
1.0,667,452.552767
1.0,666,461.794612
1.0,668,470.593483
1.0,671,479.299761
1.0,670,488.014177
0.0,671,501.716935
-52.0,673,510.11018
1.0,667,518.869017
0.0,666,527.626585
-5.0,668,536.112776
0.0,673,544.882992
-18.0,672,553.685181
1.0,670,567.399632
-28.0,669,576.277419
-3.0,670,585.137716
0.0,672,594.271408
0.0,666,602.867305
1.0,669,611.516717
1.0,669,624.801906
-23.0,668,633.569305
1.0,671,645.341065
1.0,672,657.609719
1.0,666,666.151614
1.0,670,674.862167
1.0,666,689.829587
0.0,668,699.212689
1.0,670,708.248327
1.0,665,716.902153
1.0,666,726.004176
1.0,669,734.951311
1.0,666,748.795579
0.0,666,757.682914
1.0,669,766.309241
-55.0,671,775.446753
-3.0,668,784.091796
0.0,670,793.143047
1.0,671,807.134079
-66.0,668,816.280829
1.0,666,824.661695
1.0,667,833.641757
1.0,670,842.375142
-18.0,672,850.920741
1.0,672,864.790297
1.0,666,873.642277
1.0,667,882.052237
1.0,672,890.89205
-12.0,671,899.519936
1.0,670,907.861192
0.0,671,922.099835
1.0,669,930.652153
1.0,670,939.319399
1.0,669,948.202592
1.0,670,956.975805
-7.0,669,965.480014
1.0,667,979.394519
1.0,668,987.926874
1.0,666,996.834466
1.0,668,1005.596385
1.0,665,1014.286435
-2.0,669,1022.823226
1.0,670,1031.398129
1.0,666,1045.153283
1.0,668,1053.737705
1.0,667,1062.431996
1.0,667,1071.070723
1.0,669,1080.025433
1.0,670,1088.413587
1.0,671,1102.378542
0.0,669,1111.043476
-18.0,669,1120.400136
1.0,670,1129.233308
1.0,668,1138.114524
1.0,672,1146.955183
1.0,666,1160.958796
1.0,671,1169.442269
1.0,672,1178.698866
1.0,667,1187.326528
1.0,671,1196.246754
1.0,670,1205.490754
0.0,671,1219.309605
1.0,666,1227.886677
1.0,671,1237.207911
-3.0,670,1245.962344
1.0,668,1254.630443
1.0,669,1266.123001
1.0,666,1279.831225
1.0,672,1288.589894
1.0,669,1298.398782
1.0,670,1307.208443
1.0,673,1315.910594
1.0,667,1324.712337
1.0,671,1338.365052
-5.0,669,1346.993616
1.0,669,1356.229607
1.0,671,1364.908372
1.0,669,1373.45968
1.0,669,1382.457989
1.0,668,1395.932096
1.0,667,1404.312633
1.0,667,1413.558981
1.0,670,1421.98639
0.0,667,1430.488205
1.0,670,1439.083941
0.0,669,1452.7995
2.0,672,1461.192914
1.0,672,1470.092069
1.0,666,1478.908452
1.0,665,1487.485151
1.0,668,1496.126343
1.0,669,1504.645234
1.0,672,1517.791143
-3.0,671,1526.540124
1.0,669,1535.570958
1.0,671,1544.331451
1.0,668,1553.298327
1.0,671,1561.984654
1.0,670,1575.412324
1.0,669,1584.010954
1.0,667,1594.072546
1.0,673,1602.75479
1.0,670,1611.235093
-12.0,667,1619.652635
1.0,670,1633.17331
1.0,667,1641.73558
1.0,668,1650.199604
-14.0,669,1659.370242
1.0,669,1667.792737
1.0,667,1676.425544
1.0,666,1689.862215
1.0,666,1698.431886
1.0,668,1706.964187
1.0,672,1715.995521
1.0,669,1724.49666
1.0,670,1733.033266
1.0,671,1746.708494
1.0,672,1755.291706
1.0,669,1763.947923
1.0,672,1772.620367
1.0,669,1781.212716
1.0,670,1789.677094
1.0,666,1803.507339
1.0,668,1812.245957
1.0,672,1820.834245
1.0,668,1829.325312
1.0,672,1838.438
1.0,671,1849.647787
1.0,667,1863.549679
1.0,671,1872.148828
1.0,670,1880.909534
1.0,669,1890.351501
1.0,672,1899.636039
1.0,670,1908.218243
1.0,667,1921.859649
1.0,665,1930.658236
1.0,667,1939.195018
1.0,670,1947.884744
1.0,673,1956.715488
1.0,667,1965.295058
1.0,670,1973.827826
1.0,667,1988.112409
1.0,667,1996.724153
1.0,666,2005.408818
1.0,671,2014.479072
1.0,666,2023.021699
1.0,671,2031.435696
1.0,667,2045.250604
1.0,671,2054.171
1.0,666,2062.895905
1.0,670,2071.539127
1.0,671,2080.416112
1.0,671,2088.958175
1.0,668,2103.02783
1.0,670,2111.991273
1.0,672,2121.132534
1.0,671,2129.972643
1.0,671,2139.049004
1.0,668,2147.831638
1.0,667,2161.578235
1.0,667,2170.364942
1.0,668,2179.172673
1.0,667,2187.715763
1.0,671,2196.911333
1.0,666,2205.427723
1.0,669,2219.065146
1.0,671,2227.803644
1.0,666,2236.377275
1.0,669,2244.882044
1.0,666,2253.644938
1.0,668,2262.024866
1.0,667,2275.902345
1.0,666,2284.70082
1.0,667,2293.488105
1.0,670,2301.952636
1.0,667,2310.58372
1.0,669,2319.216054
1.0,668,2332.769553
1.0,667,2341.573325
1.0,672,2350.143891
1.0,666,2358.888525
1.0,666,2367.88928
1.0,671,2376.557379
1.0,666,2389.946763
1.0,668,2398.817942
1.0,673,2407.350898
1.0,666,2416.121934
1.0,670,2424.709904
1.0,669,2433.754745
1.0,672,2442.401004
1.0,671,2456.161649
1.0,669,2464.920451
1.0,672,2473.630386
1.0,666,2482.268619
1.0,672,2491.265162
1.0,669,2500.55966
1.0,667,2514.355297
1.0,670,2523.047493
1.0,670,2531.766464
1.0,671,2540.363236
1.0,673,2548.853613
1.0,668,2557.70806
1.0,666,2571.462787
1.0,669,2580.538642
1.0,665,2589.260942
1.0,672,2597.770895
1.0,666,2606.198595
1.0,669,2615.019409
1.0,669,2628.481876
1.0,668,2637.169896
1.0,670,2646.072701
1.0,670,2654.528568
1.0,669,2663.13996
1.0,668,2671.816319
1.0,671,2685.113662
1.0,668,2693.661451
1.0,673,2702.505733
1.0,672,2711.093326
1.0,667,2719.421127
1.0,667,2727.752716
1.0,665,2741.262283
1.0,668,2749.635699
1.0,669,2758.439279
1.0,669,2766.950487
1.0,669,2775.483579
1.0,665,2799.009206
1.0,671,2815.70406
1.0,667,2824.301913
1.0,671,2832.716161
1.0,671,2841.235894
1.0,673,2849.862843
1.0,673,2858.745109
1.0,667,2872.683814
1.0,665,2881.706888
1.0,666,2890.498264
1.0,670,2898.934168
1.0,670,2907.66555
1.0,670,2916.740947
