#{"t_start": 1778664542.219565, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,15.596179
1.0,670,25.829247
0.0,673,34.794988
1.0,671,43.428674
-21.0,672,51.947935
1.0,668,60.819847
1.0,667,79.78371
1.0,670,88.559893
0.0,667,97.819211
-54.0,671,106.231668
1.0,667,114.66942
1.0,666,123.218946
1.0,671,136.646678
-18.0,671,144.979455
0.0,672,154.428667
-29.0,669,162.918307
-3.0,669,171.128637
1.0,672,179.678023
0.0,667,193.374595
1.0,666,201.523552
1.0,666,209.915166
-7.0,670,219.920332
-18.0,666,230.787918
1.0,668,239.391278
-11.0,668,253.203008
1.0,667,261.319565
1.0,666,269.864985
1.0,670,278.856892
-23.0,669,287.484551
1.0,667,295.705116
1.0,668,310.202559
0.0,667,318.585083
1.0,671,327.136114
-3.0,669,336.301581
1.0,668,344.949824
-3.0,671,353.447453
1.0,667,366.486789
-4.0,669,374.948008
-1.0,672,383.740964
1.0,672,392.490242
1.0,670,401.699406
1.0,667,410.086838
-40.0,671,423.848169
-10.0,668,432.901572
1.0,672,441.22458
1.0,667,449.724914
1.0,671,460.02829
1.0,670,468.387913
1.0,667,481.778661
1.0,667,490.429136
1.0,667,498.591849
0.0,666,507.174121
1.0,672,516.262827
1.0,669,524.680283
0.0,672,533.011261
1.0,670,547.058269
1.0,667,555.568448
1.0,666,564.111454
1.0,670,572.808
0.0,672,581.499322
1.0,672,589.922433
-10.0,671,602.912487
-43.0,671,611.605614
1.0,669,631.191395
1.0,669,638.90757
-19.0,672,645.680434
0.0,666,652.551121
1.0,667,663.675298
1.0,671,670.779766
-3.0,671,677.588334
1.0,668,684.530964
-33.0,672,691.506369
-6.0,668,698.745305
-23.0,668,709.515107
1.0,670,716.541878
-8.0,672,723.623363
1.0,666,730.688157
1.0,672,737.661597
1.0,667,744.552243
1.0,668,755.894616
1.0,670,762.711203
-2.0,670,769.468345
1.0,670,776.352819
1.0,671,783.378872
1.0,669,790.287488
-11.0,671,800.739628
1.0,666,807.590981
1.0,666,814.854443
1.0,671,821.953441
1.0,671,828.718863
-16.0,665,835.595502
1.0,670,846.791981
1.0,667,853.733941
-1.0,667,860.721649
1.0,671,867.697206
-7.0,668,874.887402
-13.0,667,892.225172
1.0,668,910.358194
1.0,672,917.320772
1.0,671,923.963299
1.0,671,930.942611
1.0,669,938.239245
1.0,671,945.201871
1.0,673,952.013553
1.0,669,962.753418
1.0,668,969.714584
1.0,668,976.73588
-3.0,673,984.049123
1.0,667,990.945894
-3.0,666,998.143518
0.0,672,1009.452185
1.0,668,1016.347775
0.0,672,1023.473945
1.0,670,1030.51664
1.0,670,1037.549778
1.0,671,1044.268478
1.0,665,1055.832411
1.0,668,1063.008062
1.0,667,1069.99787
1.0,667,1076.87549
1.0,672,1083.951183
1.0,672,1090.907597
1.0,672,1101.702442
1.0,671,1108.856886
1.0,673,1116.340329
1.0,668,1123.441263
1.0,665,1130.337512
1.0,666,1139.194089
1.0,667,1154.06296
1.0,669,1160.909041
1.0,667,1167.74951
1.0,669,1174.988789
1.0,670,1181.548001
1.0,668,1188.454259
1.0,665,1199.353013
1.0,672,1205.901857
1.0,666,1212.822955
1.0,670,1219.9775
1.0,667,1227.386127
1.0,666,1234.36195
1.0,670,1245.149048
1.0,669,1252.143345
1.0,667,1259.231232
1.0,671,1265.899676
1.0,668,1273.001358
1.0,666,1280.108655
1.0,671,1291.339435
1.0,666,1298.398879
1.0,670,1305.87279
1.0,669,1312.887497
1.0,667,1319.955362
1.0,667,1326.991763
1.0,668,1333.76189
1.0,668,1345.058314
1.0,670,1352.327426
1.0,667,1359.503201
1.0,672,1366.777736
1.0,666,1373.825089
1.0,672,1381.042292
1.0,672,1392.208105
1.0,667,1399.413352
1.0,667,1406.279347
1.0,668,1413.323987
1.0,668,1420.541066
1.0,671,1427.415135
1.0,669,1439.12646
1.0,671,1446.233556
1.0,672,1453.280704
1.0,673,1460.384673
1.0,671,1467.18887
1.0,669,1474.14366
1.0,666,1485.426634
1.0,672,1492.712908
1.0,672,1499.65015
1.0,667,1506.466945
1.0,666,1513.513155
1.0,671,1520.454871
1.0,672,1531.744939
1.0,669,1538.919861
1.0,672,1545.97199
1.0,672,1553.146269
1.0,671,1559.930919
1.0,670,1566.699167
1.0,667,1578.328406
1.0,667,1585.169419
1.0,672,1592.146882
1.0,671,1599.153802
1.0,672,1606.18281
1.0,668,1613.033801
1.0,669,1626.637716
1.0,668,1633.344373
1.0,672,1640.387783
1.0,666,1647.357285
1.0,670,1654.742312
1.0,667,1661.410716
1.0,670,1672.826507
1.0,668,1679.892434
1.0,666,1686.612777
1.0,672,1693.346557
1.0,668,1700.263494
1.0,672,1707.315723
1.0,672,1718.688217
1.0,672,1725.154815
1.0,668,1732.144863
1.0,668,1739.568562
1.0,665,1746.256822
1.0,668,1753.111056
1.0,666,1760.062224
1.0,669,1771.181277
1.0,672,1778.209248
1.0,666,1785.0026
1.0,670,1791.885263
1.0,672,1799.075837
1.0,665,1805.837474
1.0,671,1816.786805
1.0,666,1823.799018
1.0,671,1830.836393
1.0,670,1837.769914
1.0,666,1844.481915
1.0,671,1851.574989
1.0,670,1862.392061
1.0,668,1869.14535
1.0,671,1876.076876
1.0,673,1883.383979
1.0,670,1890.251768
1.0,668,1897.264084
1.0,673,1908.519783
1.0,669,1915.601179
1.0,669,1922.659584
1.0,666,1929.166563
1.0,668,1936.061274
1.0,672,1943.18676
1.0,668,1954.955262
1.0,666,1964.830961
1.0,672,1974.120523
1.0,665,1981.589495
1.0,667,1988.401701
1.0,666,1995.552375
1.0,667,2006.315014
1.0,669,2013.474859
1.0,667,2020.508065
1.0,668,2027.437852
1.0,666,2034.157549
1.0,666,2041.181728
1.0,670,2052.116876
1.0,666,2058.751579
1.0,666,2065.427896
1.0,668,2072.767595
1.0,667,2079.592064
1.0,670,2086.333003
1.0,667,2093.079418
1.0,670,2103.842365
1.0,667,2110.440816
1.0,670,2117.468481
1.0,671,2124.561544
1.0,666,2131.51026
1.0,668,2138.477581
1.0,667,2149.338727
1.0,672,2156.330038
1.0,672,2163.477697
1.0,671,2170.114763
1.0,668,2177.054577
1.0,668,2183.859903
1.0,669,2195.061361
1.0,669,2202.070998
1.0,672,2209.081506
1.0,669,2215.951602
1.0,672,2222.938133
1.0,668,2229.842706
1.0,666,2240.923789
1.0,672,2247.754489
1.0,667,2255.091869
1.0,670,2261.912129
1.0,666,2269.214686
1.0,667,2275.93607
1.0,668,2287.078174
1.0,666,2294.229677
1.0,672,2301.191882
1.0,670,2308.557941
1.0,670,2315.66937
1.0,670,2322.550033
1.0,672,2333.399246
1.0,671,2340.316236
1.0,672,2347.28407
1.0,671,2354.379584
1.0,665,2361.317591
1.0,669,2368.010344
1.0,667,2379.153491
1.0,666,2385.989059
1.0,672,2392.774802
1.0,672,2399.753781
1.0,669,2406.68554
1.0,666,2413.548735
1.0,668,2424.387683
1.0,668,2431.124142
1.0,673,2438.526423
1.0,671,2445.130904
1.0,671,2452.631598
1.0,671,2461.979119
