#{"t_start": 1778671325.4191365, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,13.149832
1.0,666,19.125833
1.0,668,25.387888
0.0,667,33.285302
-3.0,673,39.464387
1.0,669,45.278454
-53.0,670,50.186988
1.0,666,54.248646
1.0,671,58.687547
-4.0,668,63.70927
-3.0,669,67.398501
-2.0,667,71.615129
1.0,671,76.399118
-24.0,670,79.785289
0.0,667,84.041709
1.0,668,89.127581
1.0,673,92.700181
1.0,669,97.015835
-34.0,672,101.973307
-3.0,670,105.251746
0.0,669,109.586919
1.0,667,115.22122
-85.0,667,119.16008
1.0,668,123.534882
1.0,672,129.106798
1.0,669,132.907105
-35.0,672,137.503216
1.0,673,142.912093
1.0,673,146.707096
1.0,668,151.464931
-4.0,672,157.053116
1.0,670,160.908702
-14.0,672,165.464378
1.0,666,171.426369
1.0,666,175.257751
1.0,669,179.979441
1.0,671,185.95363
-6.0,668,189.983765
1.0,666,194.687072
-27.0,670,200.813636
1.0,671,204.664039
1.0,669,209.445745
1.0,671,215.898677
1.0,667,219.921777
-2.0,666,224.740651
1.0,668,231.030391
-10.0,671,234.806486
1.0,670,239.661054
1.0,671,246.257007
0.0,673,250.270019
1.0,667,255.03643
1.0,666,259.943234
-13.0,668,265.470771
1.0,673,270.287393
-17.0,672,275.114604
1.0,670,281.092075
-7.0,669,285.986883
1.0,670,291.018562
1.0,672,297.300232
-25.0,666,302.008703
1.0,669,307.072329
-5.0,669,313.408086
1.0,668,319.886599
1.0,671,329.68489
1.0,672,335.867495
1.0,666,341.015996
-4.0,670,346.405744
-7.0,666,353.087744
1.0,668,358.406535
1.0,670,363.821095
1.0,665,372.582069
1.0,666,377.819886
1.0,669,383.299601
1.0,666,389.908269
1.0,666,394.787759
1.0,669,400.240964
-34.0,671,407.501999
1.0,668,412.722806
1.0,670,418.325817
1.0,671,425.359758
1.0,668,430.655778
1.0,666,436.644881
1.0,667,443.681663
1.0,670,449.064611
1.0,672,454.64323
1.0,672,462.17732
1.0,666,467.768968
1.0,667,473.659087
1.0,672,481.376072
1.0,671,486.800858
1.0,670,493.125209
1.0,671,501.240849
1.0,669,507.151443
1.0,670,513.470899
1.0,669,522.093275
1.0,670,528.469597
1.0,669,535.409946
1.0,667,544.058024
1.0,668,550.468154
1.0,666,557.754005
1.0,668,565.089868
1.0,665,574.401765
1.0,669,581.614226
1.0,670,588.708073
1.0,666,597.952562
1.0,668,604.751315
1.0,667,611.794726
1.0,667,621.317905
1.0,669,628.498203
1.0,670,635.724604
1.0,671,644.67238
1.0,669,652.084141
1.0,669,659.235313
1.0,670,668.093396
1.0,668,675.457676
1.0,672,682.780822
1.0,666,691.928611
1.0,671,698.862924
1.0,672,706.017267
1.0,667,715.319277
1.0,671,722.447201
1.0,670,729.561442
1.0,671,738.538968
1.0,666,745.994144
1.0,671,753.237238
1.0,670,762.360916
1.0,668,769.592916
1.0,669,776.736113
1.0,666,785.974541
-3.0,672,792.814543
1.0,669,799.791787
1.0,670,809.366318
1.0,673,816.255733
1.0,667,823.370284
1.0,671,832.472738
1.0,669,839.576742
1.0,669,846.374001
1.0,671,859.248544
1.0,669,870.673702
1.0,669,881.698628
1.0,668,890.841358
1.0,667,897.973201
1.0,667,904.927754
-5.0,670,915.291132
1.0,667,922.106045
1.0,670,930.11544
1.0,669,939.414315
1.0,672,946.878491
-3.0,672,955.411085
1.0,666,964.763889
1.0,665,971.480451
1.0,668,978.464144
1.0,669,985.551893
1.0,672,994.759149
1.0,671,1001.662018
1.0,669,1008.524784
1.0,671,1018.095283
1.0,668,1024.77301
1.0,671,1031.705199
1.0,670,1040.344032
1.0,669,1047.62338
1.0,667,1054.678503
1.0,673,1063.750842
1.0,670,1070.580739
1.0,667,1077.785932
1.0,670,1086.92593
1.0,667,1094.02813
1.0,668,1101.025071
1.0,669,1110.19911
1.0,669,1117.247618
1.0,667,1123.994091
1.0,666,1132.895283
1.0,666,1139.846012
1.0,668,1146.618934
1.0,672,1155.551017
1.0,669,1162.521872
1.0,670,1170.032401
1.0,671,1179.154405
1.0,672,1186.081215
1.0,669,1192.754595
1.0,672,1202.000644
1.0,669,1208.700293
1.0,670,1215.722924
1.0,666,1224.637085
1.0,668,1232.074726
1.0,672,1239.209254
1.0,668,1248.368479
1.0,672,1255.212551
1.0,671,1262.087115
1.0,667,1271.504397
1.0,671,1278.782559
-8.0,670,1285.754555
1.0,669,1295.356083
-35.0,672,1302.030818
1.0,670,1308.765288
1.0,667,1318.203788
1.0,665,1324.991078
1.0,667,1331.940539
