#{"t_start": 1778645047.9310853, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,9.586364
1.0,670,14.428046
0.0,673,19.198696
1.0,671,23.996776
-21.0,672,28.876606
1.0,668,33.415776
-3.0,667,39.985063
1.0,670,43.74627
1.0,667,48.210489
-52.0,671,52.474739
1.0,667,56.856099
0.0,666,61.501705
0.0,671,68.238765
0.0,671,72.581336
1.0,672,77.320347
-12.0,669,82.029319
-2.0,669,86.90818
1.0,672,91.678431
1.0,667,98.603572
1.0,666,102.827953
1.0,666,107.501694
-14.0,670,112.319192
-45.0,666,116.840105
-34.0,668,121.347758
-15.0,668,127.486247
1.0,667,130.830199
1.0,666,135.021894
-5.0,670,139.433162
-5.0,669,143.762049
1.0,667,148.19097
1.0,668,155.127484
1.0,667,158.947236
1.0,671,163.748272
0.0,669,168.524422
-18.0,668,173.212112
-20.0,671,177.962809
1.0,667,184.903529
1.0,669,188.485568
0.0,672,193.117678
0.0,672,197.802183
1.0,670,202.579856
1.0,667,207.2284
-3.0,671,214.976185
0.0,668,218.262779
0.0,672,222.452889
-1.0,667,226.923445
1.0,671,231.755743
0.0,670,236.594074
1.0,667,244.469362
1.0,667,248.225049
1.0,667,253.027518
1.0,666,257.63893
1.0,672,262.334395
1.0,669,267.105438
1.0,672,271.735658
1.0,670,277.722644
0.0,667,281.223641
0.0,666,285.55374
1.0,670,289.978824
1.0,672,294.415411
-16.0,672,299.112514
0.0,671,306.23585
-32.0,671,310.514619
0.0,669,315.359658
-58.0,669,320.049916
1.0,672,324.836617
1.0,666,329.531132
1.0,667,335.905671
1.0,671,339.249859
1.0,671,343.713364
1.0,668,348.348331
-9.0,672,353.246531
-5.0,668,357.874561
1.0,668,364.516788
1.0,670,368.093444
1.0,672,372.752605
-32.0,666,377.451156
1.0,672,382.260534
0.0,667,386.966502
0.0,668,393.722476
1.0,670,396.978309
1.0,670,401.327061
0.0,670,405.936789
0.0,671,410.72113
0.0,669,415.492168
-5.0,671,422.624141
1.0,666,426.474384
1.0,666,431.15125
1.0,671,435.816725
1.0,671,440.403445
1.0,665,445.213177
1.0,670,452.325571
-3.0,667,455.639161
0.0,667,460.178298
1.0,671,464.521718
1.0,668,469.383569
0.0,667,474.164435
1.0,668,481.711856
1.0,672,485.483262
1.0,671,489.8496
0.0,671,494.690732
1.0,669,499.403186
1.0,671,504.157251
1.0,673,508.862328
1.0,669,515.060674
1.0,668,518.995457
1.0,668,523.352087
1.0,673,527.614241
1.0,667,532.292234
1.0,666,536.982383
1.0,672,543.613135
1.0,668,548.061248
1.0,672,552.773059
1.0,670,557.459407
1.0,670,562.177684
0.0,671,567.016737
1.0,665,573.379367
0.0,668,577.078413
1.0,667,581.488465
1.0,667,585.899706
1.0,672,590.598946
1.0,672,595.58235
1.0,672,602.57954
1.0,671,606.726239
-21.0,673,611.486524
0.0,668,616.191969
1.0,665,621.035132
1.0,666,625.685108
1.0,667,632.38296
-7.0,669,635.986083
1.0,667,640.255707
1.0,669,644.509839
1.0,670,648.859585
0.0,668,653.09409
0.0,665,660.495167
1.0,672,664.53982
1.0,666,669.092232
1.0,670,673.875479
-3.0,667,678.483844
1.0,666,683.343345
1.0,670,690.525102
1.0,669,693.864875
1.0,667,698.217411
1.0,671,703.08473
1.0,668,708.014291
-3.0,666,712.745148
0.0,671,720.219982
1.0,666,723.471302
1.0,670,727.60572
1.0,669,732.187397
-5.0,667,737.271187
1.0,667,742.032988
1.0,668,747.033848
1.0,668,753.125164
1.0,670,756.962255
1.0,667,761.53442
1.0,672,766.345912
1.0,666,771.071874
1.0,672,775.824623
0.0,672,781.720577
1.0,667,785.36915
0.0,667,789.963173
1.0,668,794.614089
1.0,668,799.288105
0.0,671,805.070488
1.0,669,811.92555
1.0,671,815.57224
1.0,672,820.020997
1.0,673,824.753236
1.0,671,829.444377
0.0,669,835.592659
1.0,666,843.125188
1.0,672,847.344112
1.0,672,852.042014
