#{"t_start": 1778655882.0446007, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,30.311441
1.0,670,38.726266
0.0,673,47.792478
1.0,671,60.783999
-22.0,672,69.565387
-24.0,668,79.422034
-37.0,667,89.313057
1.0,670,97.982014
-28.0,667,107.237013
-8.0,671,118.887642
-17.0,667,127.802071
-69.0,666,136.886251
0.0,671,147.070672
0.0,671,156.000604
-2.0,672,165.322991
-2.0,669,176.712776
-5.0,669,185.681254
-7.0,672,194.85892
0.0,667,205.346925
1.0,666,214.250913
1.0,666,223.291346
-43.0,670,233.951586
-5.0,666,242.531523
1.0,668,251.309957
-36.0,668,261.930511
1.0,667,270.597272
-42.0,666,279.367041
1.0,670,289.64252
0.0,669,298.792087
1.0,667,307.719948
-17.0,668,317.938908
-12.0,667,326.685443
-21.0,671,335.554913
1.0,669,345.904663
0.0,668,355.467187
1.0,671,364.450445
0.0,667,377.606236
1.0,669,386.359086
0.0,672,395.512951
1.0,672,405.704082
-14.0,670,415.175167
1.0,667,423.921654
-15.0,671,434.256226
0.0,668,442.943452
1.0,672,452.159277
0.0,667,462.586475
1.0,671,471.744602
-29.0,670,480.889866
0.0,667,491.059481
1.0,667,500.028004
1.0,667,508.938486
1.0,666,518.109985
0.0,672,528.973407
1.0,669,538.459767
0.0,672,547.308424
-17.0,670,557.622035
0.0,667,566.762879
1.0,666,575.991148
0.0,670,586.13039
0.0,672,595.464352
-15.0,672,604.039529
1.0,671,614.546941
-17.0,671,623.501565
1.0,669,632.608664
0.0,669,643.053915
-3.0,672,652.382782
0.0,666,661.334513
1.0,667,671.777406
1.0,671,680.693162
-15.0,671,689.931746
0.0,668,700.327395
1.0,672,709.249057
1.0,668,718.75472
1.0,668,729.15038
0.0,670,738.081483
0.0,672,747.374697
1.0,666,757.559224
0.0,672,766.394025
-22.0,667,775.904114
1.0,668,786.374549
0.0,670,795.109171
1.0,670,804.1639
1.0,670,814.606648
1.0,671,823.603122
1.0,669,832.895082
1.0,671,843.613866
1.0,666,852.366028
-11.0,666,861.5368
0.0,671,872.001294
0.0,671,881.580153
0.0,665,890.624239
0.0,670,902.520479
0.0,667,911.209086
1.0,667,920.340924
1.0,671,931.197343
0.0,668,940.069924
1.0,667,949.084458
0.0,668,959.84545
1.0,672,968.536059
0.0,671,978.086895
0.0,671,989.203023
1.0,669,998.142633
0.0,671,1007.033637
0.0,673,1016.684015
0.0,669,1027.274152
0.0,668,1036.235816
1.0,668,1045.19603
0.0,673,1055.914149
0.0,667,1064.920149
0.0,666,1073.942948
1.0,672,1084.324591
1.0,668,1093.466505
1.0,672,1103.062586
0.0,670,1113.170495
0.0,670,1122.191862
1.0,671,1130.894022
1.0,665,1141.471449
0.0,668,1150.599928
1.0,667,1159.305038
1.0,667,1169.82502
-8.0,672,1179.14572
0.0,672,1187.894261
0.0,672,1198.188117
-53.0,671,1207.185364
1.0,673,1215.973542
1.0,668,1226.233523
1.0,665,1235.264395
1.0,666,1244.065202
1.0,667,1254.718401
0.0,669,1263.906686
1.0,667,1272.878682
1.0,669,1283.252625
1.0,670,1292.226913
1.0,668,1301.310504
1.0,665,1311.318682
1.0,672,1320.50322
0.0,666,1329.451269
-59.0,670,1340.14631
1.0,667,1348.877472
1.0,666,1357.815625
0.0,670,1368.117138
0.0,669,1377.210012
1.0,667,1386.453211
1.0,671,1396.610929
0.0,668,1405.493845
0.0,666,1414.519409
0.0,671,1425.260958
0.0,666,1433.980443
0.0,670,1442.967994
0.0,669,1453.434161
1.0,667,1462.133956
1.0,667,1470.942805
0.0,668,1480.009654
0.0,668,1489.997301
1.0,670,1499.253267
1.0,667,1508.149508
0.0,672,1518.636348
0.0,666,1527.560815
1.0,672,1536.125482
0.0,672,1550.56512
1.0,667,1559.963393
0.0,667,1568.898187
1.0,668,1578.773631
1.0,668,1587.577684
1.0,671,1596.272332
1.0,669,1606.906893
1.0,671,1616.510138
0.0,672,1625.025355
1.0,673,1635.360239
1.0,671,1644.470861
0.0,669,1653.423433
1.0,666,1664.59989
1.0,672,1674.044639
1.0,672,1683.157675
1.0,667,1693.559146
0.0,666,1702.473384
1.0,671,1711.392178
1.0,672,1721.72239
1.0,669,1730.860239
0.0,672,1740.04961
0.0,672,1750.274877
1.0,671,1759.34868
0.0,670,1768.233804
1.0,667,1778.23763
1.0,667,1787.249848
1.0,672,1796.504619
1.0,671,1806.960715
1.0,672,1816.290188
1.0,668,1825.257732
1.0,669,1835.319528
1.0,668,1844.539984
0.0,672,1854.00087
1.0,666,1864.913982
1.0,670,1873.814037
1.0,667,1883.336913
0.0,670,1893.610307
1.0,668,1902.462509
0.0,666,1911.587881
1.0,672,1922.326821
0.0,668,1931.066944
1.0,672,1940.101529
1.0,672,1950.443026
1.0,672,1959.05346
1.0,668,1968.249779
1.0,668,1977.718637
1.0,665,1988.052839
0.0,668,1996.962381
1.0,666,2005.857206
0.0,669,2015.826791
0.0,672,2024.927158
0.0,666,2034.306469
1.0,670,2044.923422
1.0,672,2053.895784
1.0,665,2062.968869
-34.0,671,2073.25031
1.0,666,2082.378875
1.0,671,2091.490701
1.0,670,2102.035385
1.0,666,2111.098721
1.0,671,2120.298323
1.0,670,2130.402711
0.0,668,2139.341132
1.0,671,2148.237245
1.0,673,2158.773405
1.0,670,2167.789273
1.0,668,2176.628473
1.0,673,2186.86854
1.0,669,2195.939121
1.0,669,2204.824713
-13.0,666,2215.814399
0.0,668,2224.734574
1.0,672,2233.464447
1.0,668,2244.049308
0.0,666,2253.185656
1.0,672,2261.973286
1.0,665,2272.655424
1.0,667,2281.693961
1.0,666,2290.575786
1.0,667,2300.842486
1.0,669,2309.712999
1.0,667,2318.484518
1.0,668,2329.007151
1.0,666,2338.328218
1.0,666,2346.910054
1.0,670,2356.634921
1.0,666,2365.474202
1.0,666,2374.300519
1.0,668,2384.3524
0.0,667,2393.408248
1.0,670,2402.177402
1.0,667,2410.92432
1.0,670,2421.095033
1.0,667,2430.181073
1.0,670,2439.516709
1.0,671,2450.174449
1.0,666,2459.284996
1.0,668,2468.265188
1.0,667,2479.148532
1.0,672,2488.522199
1.0,672,2497.529434
1.0,671,2508.023566
1.0,668,2518.098112
1.0,668,2526.949951
1.0,669,2537.67739
1.0,669,2547.019258
1.0,672,2556.1128
1.0,669,2566.970435
1.0,672,2576.598403
1.0,668,2585.658612
1.0,666,2595.757926
1.0,672,2604.938876
1.0,667,2613.855258
1.0,670,2624.066509
1.0,666,2633.286882
1.0,667,2642.793356
1.0,668,2652.976083
1.0,666,2663.412685
1.0,672,2676.952387
1.0,670,2689.497123
1.0,670,2698.752832
1.0,670,2707.701805
1.0,672,2718.358382
1.0,671,2727.078466
1.0,672,2736.112434
1.0,671,2746.380026
1.0,665,2755.63224
1.0,669,2765.133772
1.0,667,2775.334775
1.0,666,2784.957604
1.0,672,2794.725361
1.0,672,2805.186972
1.0,669,2814.647653
1.0,666,2823.824161
1.0,668,2834.166868
1.0,668,2842.849385
0.0,673,2852.397927
1.0,671,2863.104309
1.0,671,2872.327773
1.0,671,2881.606481
