#{"t_start": 1778653129.4124663, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,17.227491
1.0,666,24.470175
1.0,668,31.626204
1.0,667,41.385274
1.0,673,49.170637
-41.0,669,56.304112
1.0,670,64.600185
1.0,666,72.07103
1.0,671,79.510549
1.0,668,88.373225
-3.0,669,95.448672
1.0,667,102.763484
-68.0,671,112.015004
-19.0,670,119.979199
0.0,667,127.510845
0.0,668,137.261523
-20.0,673,144.578366
1.0,669,151.972726
1.0,672,160.258787
-34.0,670,168.342374
1.0,669,175.570382
1.0,667,183.776408
-10.0,667,191.146009
1.0,668,198.578889
1.0,672,206.985876
1.0,669,214.443854
1.0,672,221.926013
-8.0,673,230.812151
1.0,673,237.974685
1.0,668,245.494256
-21.0,672,258.943409
-8.0,670,266.276336
1.0,672,274.394645
1.0,666,283.018613
1.0,666,290.869881
1.0,669,297.819566
1.0,671,306.661492
1.0,668,313.757544
1.0,666,321.124221
-54.0,670,329.510511
-3.0,671,336.341232
1.0,669,343.437922
1.0,671,352.472599
-7.0,667,359.106574
-8.0,666,366.442088
-42.0,668,375.070488
-1.0,671,382.235038
1.0,670,389.254043
1.0,671,397.8273
1.0,673,404.418082
1.0,667,412.249093
-21.0,666,419.425624
1.0,668,427.985998
0.0,673,435.33084
1.0,672,442.413416
1.0,670,450.479387
-1.0,669,457.616497
1.0,670,465.62535
0.0,672,474.12793
1.0,666,481.382642
-3.0,669,488.69167
-9.0,669,497.077993
1.0,668,504.480712
1.0,671,511.724954
1.0,672,519.808798
1.0,666,527.460813
1.0,670,535.082011
1.0,666,543.215808
1.0,668,550.534583
1.0,670,557.773924
1.0,665,566.19194
1.0,666,573.267285
1.0,669,580.445866
1.0,666,588.914293
1.0,666,596.321108
1.0,669,603.368303
1.0,671,611.558928
1.0,668,618.897162
1.0,670,626.392773
1.0,671,634.639367
1.0,668,641.511589
1.0,666,648.988425
1.0,667,657.414078
1.0,670,664.501921
1.0,672,672.00162
1.0,672,680.384917
1.0,666,687.528241
1.0,667,694.750852
1.0,672,703.5102
1.0,671,710.915964
1.0,670,718.237362
1.0,671,726.736483
1.0,669,734.087417
1.0,670,741.289752
1.0,669,750.010283
1.0,670,759.484706
1.0,669,769.811543
1.0,667,780.923246
1.0,668,789.900757
1.0,666,798.971116
1.0,668,808.235235
1.0,665,818.865313
1.0,669,828.385354
1.0,670,837.620592
1.0,666,848.626566
1.0,668,857.791932
1.0,667,866.875773
1.0,667,877.000837
1.0,669,886.694528
1.0,670,895.773237
1.0,671,906.577917
1.0,669,915.75084
1.0,669,931.638146
1.0,670,949.511022
1.0,668,968.357495
1.0,672,977.379575
1.0,666,987.465629
1.0,671,996.531513
1.0,672,1005.724699
1.0,667,1016.89307
1.0,671,1026.300967
1.0,670,1035.370042
1.0,671,1045.790504
1.0,666,1054.768155
1.0,671,1063.903439
1.0,670,1074.510955
1.0,668,1083.334164
1.0,669,1092.070089
1.0,666,1102.035359
1.0,672,1110.629873
1.0,669,1119.525347
1.0,670,1129.804586
1.0,673,1138.885763
1.0,667,1147.909157
1.0,671,1157.970924
1.0,669,1166.682576
1.0,669,1175.593113
1.0,671,1185.9794
1.0,669,1194.810819
1.0,669,1203.462286
1.0,668,1213.801141
1.0,667,1222.149257
1.0,667,1231.253187
1.0,670,1241.666472
1.0,667,1250.809049
1.0,670,1259.646353
1.0,669,1270.001126
1.0,672,1278.792915
1.0,672,1287.726862
1.0,666,1298.31222
1.0,665,1307.290706
1.0,668,1316.311447
1.0,669,1324.854482
1.0,672,1335.260831
1.0,671,1344.113812
1.0,669,1352.829064
1.0,671,1363.505527
1.0,668,1372.871074
1.0,671,1381.572659
1.0,670,1391.960738
1.0,669,1400.982829
1.0,667,1410.052855
1.0,673,1420.417797
1.0,670,1429.545287
1.0,667,1438.277241
1.0,670,1448.385719
1.0,667,1460.4966
1.0,668,1469.997152
1.0,669,1480.305837
1.0,669,1489.704021
1.0,667,1498.423497
1.0,666,1508.134001
1.0,666,1517.061113
1.0,668,1526.159939
1.0,672,1536.590562
1.0,669,1546.049791
1.0,670,1554.726142
1.0,671,1564.888211
1.0,672,1573.904908
1.0,669,1582.843601
1.0,672,1594.313664
1.0,669,1603.592483
1.0,670,1613.102005
1.0,666,1623.905112
1.0,668,1632.964251
1.0,672,1642.206763
1.0,668,1652.667281
1.0,672,1661.420028
1.0,671,1670.844969
1.0,667,1681.306031
1.0,671,1690.544318
1.0,670,1699.560449
1.0,669,1709.877575
1.0,672,1719.052097
1.0,670,1728.587759
1.0,667,1738.791774
1.0,665,1747.288566
1.0,667,1756.44371
1.0,670,1766.442949
1.0,673,1775.230338
1.0,667,1784.155687
1.0,670,1793.680754
1.0,667,1803.694415
1.0,667,1812.618676
1.0,666,1821.51128
1.0,671,1832.095914
1.0,666,1840.679574
1.0,671,1849.875423
1.0,667,1860.198796
1.0,671,1869.70945
1.0,666,1878.942047
1.0,670,1889.241825
1.0,671,1898.117809
1.0,671,1907.363968
1.0,668,1917.516309
1.0,670,1927.191002
1.0,672,1936.687166
1.0,671,1947.271032
1.0,671,1956.158846
1.0,668,1965.273475
