#{"t_start": 1778643587.1516588, "env_id": "ALE/PrivateEye-v5"}
r,l,t
-19.0,670,7.080142
1.0,666,11.180027
1.0,668,15.85654
0.0,667,20.482112
-3.0,673,25.395759
0.0,669,29.82818
1.0,670,37.21982
1.0,666,40.988003
1.0,671,45.276244
0.0,668,49.688751
1.0,669,54.039635
1.0,667,58.450229
1.0,671,65.047448
-13.0,670,69.395536
1.0,667,74.330872
-38.0,668,79.106914
1.0,673,84.060399
1.0,669,89.084643
0.0,672,96.009261
-3.0,670,99.771323
0.0,669,104.228339
1.0,667,108.714432
-38.0,667,113.309428
1.0,668,118.105244
1.0,672,125.002642
-51.0,669,128.978523
1.0,672,133.72228
0.0,673,138.510044
0.0,673,143.275562
-1.0,668,147.716703
1.0,672,154.452737
1.0,670,157.964947
1.0,672,162.388438
1.0,666,166.883485
1.0,666,171.311634
0.0,669,175.823517
1.0,671,182.809617
-12.0,668,186.652105
-9.0,666,191.465749
1.0,670,196.198124
0.0,671,200.962813
1.0,669,205.620951
0.0,671,212.605515
1.0,667,215.785599
1.0,666,219.955507
0.0,668,224.280354
0.0,671,228.794482
0.0,670,233.334887
0.0,671,240.925583
1.0,673,244.901817
1.0,667,249.494351
1.0,666,254.333143
1.0,668,258.9605
1.0,673,263.591373
1.0,672,268.10632
1.0,670,273.99916
1.0,669,277.86729
1.0,670,282.210208
1.0,672,286.597203
1.0,666,291.06765
1.0,669,295.473438
1.0,669,302.004923
1.0,668,306.431993
1.0,671,311.174777
1.0,672,316.013677
1.0,666,320.554625
1.0,670,325.205301
1.0,666,331.393939
1.0,668,335.094255
0.0,670,339.438869
1.0,665,343.843128
-24.0,666,348.331918
-6.0,669,352.828156
0.0,666,359.911728
1.0,666,364.193373
1.0,669,368.950448
0.0,671,373.862919
-27.0,668,378.605766
1.0,670,383.122618
1.0,671,389.58606
1.0,668,392.822725
1.0,666,397.081908
0.0,667,401.467316
1.0,670,405.887788
1.0,672,410.333312
-7.0,672,417.127195
1.0,666,420.93251
-13.0,667,425.607367
-7.0,672,430.468225
1.0,671,435.172063
1.0,670,439.947509
1.0,671,446.726297
1.0,669,449.995515
1.0,670,454.084054
1.0,669,458.457796
0.0,670,463.001564
1.0,669,467.380773
1.0,667,474.581273
0.0,668,478.589217
1.0,666,483.530761
1.0,668,488.593598
1.0,665,493.302851
-12.0,669,497.94141
-15.0,670,502.404218
-1.0,666,508.404969
1.0,668,512.31128
-8.0,667,516.778883
1.0,667,521.185673
1.0,669,525.717772
1.0,670,530.179569
0.0,671,536.460379
0.0,669,540.798554
1.0,669,545.406585
0.0,670,550.087867
1.0,668,554.776718
1.0,672,559.361072
1.0,666,565.469011
1.0,671,569.01458
1.0,672,573.338945
1.0,667,577.644958
1.0,671,582.03933
0.0,670,586.668699
0.0,671,593.932763
1.0,666,597.795553
1.0,671,602.535188
0.0,670,607.300843
1.0,668,612.020765
1.0,669,616.649983
1.0,666,623.570935
1.0,672,626.975704
1.0,669,631.210636
1.0,670,635.449713
1.0,673,639.948583
0.0,667,644.378526
1.0,671,651.384375
1.0,669,655.362518
1.0,669,660.048417
1.0,671,664.901049
1.0,669,669.661568
1.0,669,674.585161
1.0,668,681.356995
1.0,667,684.690213
0.0,667,688.917999
1.0,670,693.3133
0.0,667,697.609485
1.0,670,702.167475
1.0,669,709.69647
1.0,672,713.456232
1.0,672,718.241479
1.0,666,723.032868
1.0,665,727.838605
1.0,668,732.476682
1.0,669,737.054788
1.0,672,743.135509
1.0,671,746.977236
1.0,669,751.464361
1.0,671,755.868821
1.0,668,760.327632
1.0,671,764.750283
1.0,670,771.398785
1.0,669,775.845664
1.0,667,780.50853
0.0,673,785.145452
1.0,670,789.858864
1.0,667,794.518549
1.0,670,800.747527
1.0,667,804.449929
1.0,668,808.707662
1.0,669,813.084119
1.0,669,817.483158
1.0,667,822.053672
-39.0,666,829.271787
1.0,666,833.573855
1.0,668,838.266932
1.0,672,843.051945
1.0,669,847.802585
1.0,670,852.335146
1.0,671,858.842985
1.0,672,862.567494
1.0,669,866.964862
1.0,672,871.323573
1.0,669,875.784345
1.0,670,880.150769
1.0,666,886.574856
1.0,668,890.823493
1.0,672,895.573278
1.0,668,900.447555
1.0,672,905.198048
1.0,671,909.890957
1.0,667,916.738698
-25.0,671,920.020773
-4.0,670,924.15161
-8.0,669,928.633167
1.0,672,933.272194
-8.0,670,938.271991
1.0,667,945.431471
1.0,665,949.513098
1.0,667,954.182298
-4.0,670,958.840304
1.0,673,963.644697
1.0,667,968.363825
1.0,670,972.837137
1.0,667,978.607455
0.0,667,982.536451
-6.0,666,986.903799
1.0,671,991.316138
-7.0,666,995.727231
1.0,671,1000.154276
1.0,667,1006.487072
1.0,671,1011.033597
1.0,666,1015.844537
1.0,670,1020.457582
1.0,671,1025.2617
1.0,671,1030.051505
1.0,668,1036.292705
1.0,670,1039.843986
1.0,672,1044.31247
1.0,671,1048.963667
1.0,671,1053.819585
1.0,668,1058.426119
1.0,667,1064.724816
1.0,667,1068.314007
-2.0,668,1072.632039
1.0,667,1077.279028
1.0,671,1082.118378
1.0,666,1086.858594
1.0,669,1093.821255
1.0,671,1097.736951
1.0,666,1103.790104
1.0,669,1111.657013
1.0,666,1116.353773
1.0,668,1120.891606
1.0,667,1128.074912
1.0,666,1131.594825
1.0,667,1135.934914
1.0,670,1140.353952
1.0,667,1144.833807
1.0,669,1149.199966
1.0,668,1155.91459
1.0,667,1159.260614
1.0,672,1163.786974
1.0,666,1168.766359
1.0,666,1174.275665
0.0,671,1179.10333
1.0,666,1186.357602
1.0,668,1190.369462
1.0,673,1194.979871
1.0,666,1199.720004
1.0,670,1204.379179
1.0,669,1208.993376
1.0,672,1213.487283
1.0,671,1219.220801
1.0,669,1223.130055
1.0,672,1227.532294
1.0,666,1231.955295
1.0,672,1236.548376
1.0,669,1241.041156
1.0,667,1248.380225
1.0,670,1252.813371
1.0,670,1257.639369
1.0,671,1262.214668
1.0,673,1267.079372
1.0,668,1271.710012
1.0,666,1278.17972
1.0,669,1281.865288
1.0,665,1286.15032
1.0,672,1290.554062
1.0,666,1295.492985
1.0,669,1300.139523
1.0,669,1307.63698
1.0,668,1311.90363
1.0,670,1316.492316
1.0,670,1321.187539
1.0,669,1325.782766
1.0,668,1330.301738
1.0,671,1336.781601
1.0,668,1340.166222
1.0,673,1344.505303
1.0,672,1348.907962
1.0,667,1353.297862
1.0,667,1357.741594
1.0,665,1366.188043
1.0,668,1371.151105
1.0,669,1375.77353
1.0,669,1380.499664
1.0,669,1385.06792
